text,group
Pls pardon me as i set some bot presets,btohqsg
Hahaha didn’t know you can do these with telegram!,btohqsg
/setwelcomeWelcome to the Official Honey Money SG Telegram Group! Remember to SUBSCRIBE to my YT channel and hit the LIKE button on my latest videos😎,btohqsg
Thanks Chris! Informative video. Quite inspirational too!,btohqsg
Welcome all for becoming the early adopters of this community!Hope we can all learn from each other and grow together!👍,btohqsg
I got a question  what do it mean by unable to withdrawal for fund top up by RSTU,btohqsg
Hey Jeff  thanks for the question! replied to you on 1M65 group,btohqsg
For people who are wondering what is CPF 1M65 about  please head over tohttps://t.me/Loo1M65  i learnt some of my strategies from the experts there!,btohqsg
Hi Chris  for Revolut 20% cashback promo for MRT rides  understand from their terms and conditions that need to transfer $100 via bank transfer each month to enjoy the 20% cashback for that month.Do you know if I still can qualify for the cashback if at the end of the month I withdraw all the money inside the Revolut account? Then the next month transfer $100 again…and repeat this cycle till December since the promotion is running till 31st Dec 2021.,btohqsg
Hi Sandy  yes you can do that. I think many people are doing that,btohqsg
Just keep enough for Simplygo deduction,btohqsg
Early spoiler news to Telegram group!I will be releasing my Citi Credit Cards video on Friday 8pm!If you have been considering to apply for any Citi credit card  do watch this video first and you could get $350 cash for new signups via my Singsaver link!,btohqsg
Revolut 20% cashback is in for those who have participated!,btohqsg
Hi all  any idea why I can’t see the bank details on Revolut app for top up via bank transfer?,btohqsg
Is the account number my Revolut card number?,btohqsg
Revolut homepage > add money > change to bank transfer,btohqsg
I clicked that and showing the same detail. No account number,btohqsg
Another way is click your on your name at top left Revolut homepage > documents > account confirmation,btohqsg
Use the one with DBS Account number,btohqsg
Referral links for all the products that I personally use and recommend.https://www.facebook.com/story.php?story_fbid=124040923224466&id=108288068133085&sfnsn=moDisclosure: I earn a small commission if you sign up  at NO additional cost to you!,btohqsg
Managed to top up already. Thanks Chris 👍,btohqsg
In my previous REIT portfolio video  you may still feel that it is too high level or you are still not confident in which REIT to invest in.So  what if I told you  you can just leave it to the experts  and collect your passive income for REITs?Syfe RoboAdvisor: Use code HONEYMONEYhttps://youtu.be/jBReXsiNqWc,btohqsg
Thank you for the support Bruce 👍,btohqsg
https://youtu.be/4CEsJWq972sIf you have always wanted to live in the heart of Singapore in the Queenstown area  you need to watch this video because I will help you analyse the Queenstown BTO near Queensway for Aug 2021 BTO  so you don’t have to!,btohqsg
Hi Chris  are you able to add Revolut card on TL Simply Go app?,btohqsg
Yes  i added it to Simplygo app,btohqsg
Ada Millerhas been banned! Reason:CAS ban.,btohqsg
James soulhas been banned! Reason:CAS ban.,btohqsg
REVOLUT NEW USER sign-up bonus is back again! Expire 4 Aug 2021Refer to my UOB ABSOLUTE CARD video to see how you could get 21.7% cashback off your SimplyGo Transit rides!Sign-up linkhttps://revolut.com/referral/waikitvd1g!jul1agg,btohqsg
Chris  would u recommend the hsbc revolution card?,btohqsg
Yes  it is on par with UOB PPV at 4mpd.But I'm not so into miles accumulation now due to travel restrictions,btohqsg
It’s also able to earn reward points to offset spending. Do u think the 10x reward points is more value as compared with mainstream cash back cards? 1 thing that attracts me to the card is the no annual fee,btohqsg
In ny opinion  10x reward points are most optimized to redeem for Miles for the best value. Redeeming it for anything else e.g. cash  vouchers will just diminish its value and will be better if you just use a 5%/6% cashback card.,btohqsg
Hi Chris  thank you for sharing ! For the 4 Aug expiry is it for the sign up bonus or the 20% cashback? Any idea when the cashback will last... Cuz i cant seem to find a page on it ^^,btohqsg
Hi yh  welcome!4 aug is for sign up bonus expiry.20% cashback will last till 31 Dec,btohqsg
https://www.youtube.com/watch?v=N_9myIQiyMEIn this video  I will reveal and review all my Standard Chartered Credit Cards and also talk about SCB Priority Banking. Stay tuned till the end so you can find out how to get free $300 upon signing up for an SC Credit Card!,btohqsg
Hi guys  just want some opinions or ideas on how to save up for a HDB for a single by 35 (currently 26)? Would a voluntary CPF contribution top up be better because some of it goes into OA  or would taking a housing loan and topping up into SA be better?Also  if you have any other interesting approaches  do let me know as well! Thanks!,btohqsg
Personal opinion:Would not go for voluntary topupDepends if you do your own investments such as ETFs.Take a housing loan (1.5% interest expense)  have a huge CPF SA balance (4% interest income). Then use your cash/cpf oa to pay down your mortgage,btohqsg
Hi all  I'm foreigner and new to Singapore. I have watched Chris' videos on credit cards and I'd like to apply one. Do I need to wait several months to let the bank have my salary records  or am I be eligible to apply it now? Thanks!,btohqsg
(of course  I want a higher credit line😆,btohqsg
The benchmark is 3 months of payslip  but no harm trying!Bank would usually give you 4x monthly salary of credit limit,btohqsg
Oh oh  that's a bit long😢 Thanks for replying,btohqsg
So before that  do you have advice on Debit cards?,btohqsg
Go for Grabpay Mastercard. It's a prepaid card so you can top up in the Grab Superapp  which is really useful in Singapore,btohqsg
https://youtu.be/Hjv1zU9S31EIf you have always wanted to live in Singapore’s city fringe location with just 3 MRT stations to town  you need to watch this video because I will help you analyse the Kallang/Whampoa BTO near Boon Keng MRT for Aug 2021 BTO  so you don’t have to!,btohqsg
New poll up! Will love to hear your opinions herehttps://www.youtube.com/c/HoneyMoneySG/community,btohqsg
aha  and maybe you can also have a video on how to choose a broker😏,btohqsg
I just bought my Coffee for $0.60!And got free $5 after topping up and making my first QR payment via Nestia app.Get $0.50 off if you make QR code payment in hawker centres via Nestia appFree $5 credited when you make your first Nestia payment!Use my referral link for 800 bonus points!https://topic.nestia.com/invite/100009118461,btohqsg
the problem is  many hawker centers are cash-only😩,btohqsg
Yeah true. I have two hawker centres nearby. One has many QR merchants  the other has barely less than 10.,btohqsg
https://youtu.be/PGPaJVAewhcAre you trying to start your investment journey  but have not made the first step because you don’t know which Stock broker to choose?Then you have to watch this video because I will share my own personal experience with the brokers I have used beforeAnd review the good and bad about each broker  so that you don’t have to!,btohqsg
seems that there's something called platform fee for Moomoo trading in US stocks,btohqsg
If I understand it correctly  $0.0049/share for commission fee and $0.005/share for platform fee  that's almost the same as Tiger's $0.01 commission fee?,btohqsg
😢 actually  I just referred to Tiger's website  and realized that Tiger's $0.01 is also composed of $0.05 and $0.05... no problem now,btohqsg
😆 so they are really offering similar things  I would just choose one of them randomly,btohqsg
Yes  they both are rather identical on US Trade commissions,btohqsg
Just good for sign up bonuses,btohqsg
true  and I just signed up Tiger with your referral link🤣,btohqsg
Thank you  and for the broken link reminder too!,btohqsg
no problem! I really like your videos  really helpful for me as a new-comer to Singapore😆,btohqsg
Ultimately  in the long term  just go with IBKR. These platforms like MooMoo  Tiger  not sure how long they can sustain with their aggressive promos.,btohqsg
yeah... but the share of AAPL is really inviting,btohqsg
the same country Moomoo and Tiger are from :),btohqsg
Cool 😎 enjoy your time here!While i churn out more content 😂,btohqsg
🤔 Just out of curiosity  another Youtuber I follow  Kelvin  also made a video on brokers today. Is it a coincidence or any reason behind?,btohqsg
🤣 ok  just found it interesting,btohqsg
Yeah its good also  so my videos get suggested on his feed also,btohqsg
Lucas Ouellethas been banned! Reason:CAS ban.,btohqsg
https://youtu.be/TUyWL1G0HYkIn this video  I will review the 1Q FY21/22 financial results of one of my REIT holdings  ticker M44U  Mapletree Logistics Trust (MLT) and give you my opinions of it.I will walkthrough the the points from their official presentation slides such as key highlights  financials and business outlook  and translate them into layman terms to make it easy for you to understand  so that you don’t have to!,btohqsg
PSA: Moomoo new signup promo has changed from 1 AAPL share to 2 PFE shares,btohqsg
Hi Chris  do you use it during pre-peak timing? Are you able to get the pre-peak discount on your Revolut card?,btohqsg
Yes  I got $0.50 off for tapping in before 7.45am in MRT,btohqsg
They deduct it immediately or the discount is rebated at the end of the month?,btohqsg
Immediately  just like how normal ez link works,btohqsg
Shit man. I think my fares are not discounted and I am still unable to link my Revolut card to the TL SimplyGo app,btohqsg
Anyway  those who signed up Revolut using my link but haven't fulfilled the conditions for $15 (add money  make 3 payments)  please do so within 24h or the offer will expire!,btohqsg
It's for MRT only  bus not included and should be automatic,btohqsg
Yes. I took it for MRT but wasn’t discounted. I confirmed a few times already,btohqsg
Hard to track if not on Simplygo app. Anyway if i were you then i would just use normal card to pay just so i get $0.50 for non peak morning  first. Then evening trip back use revolut,btohqsg
Hi Chris  do you think credit score is important in sg? I know it's important overseas in countries like US but I haven't heard much about its use in the sg context.,btohqsg
Not an expert on this but I generally feel it is not a big emphasis on SG  like even if you are HH  it will recover some day to at least a CC when you paid up. Unless you are perpetually a bad debt individual,btohqsg
Fun fact i was HH at one point  the lowest credit score in Singapore,btohqsg
I probably had too many cards at that point and CBS doesn't like it,btohqsg
