text,group
Hello 👋  does anyone know whether hsbc revolution card linked to apply pay still can earn 10x rewards points? Tq,btohqsg
They cut down the branches to save operating cost  that is why they can continue give us additional 1% of high interest/cash back.,btohqsg
Did I not break this news in Seth's group that Too Big Bank closed half of their branches 🤷️️Citi is left with three though but at least they somehow still have good web based support that works? SCB is also trying leh (though sadly they are retrenching...),btohqsg
Hi all  I'm getting UOB absolute cashback cc as my 1st credit card. Is it a good beginner cc? I'm studying overseas too so I'm thinking of paying my rental & sch fees by the card as they accept AMEX,btohqsg
I guess it makes banking and rewards less rewarding in near future. 8 mpd will be a distant memory.,btohqsg
Hi! Does anyone knows if I link my EVOL card to the Amaze card and spend it locally  would that count within the online transaction category for EVOL? Thanks!,btohqsg
Evol cannot link to amaze. Only Mastercard can link,btohqsg
Can use credit card to pay iras tax? Which cc is the best?,btohqsg
but then if u use this card overseas u incur foreign currency exchange fees of 3.25%,btohqsg
Those crossing over to JB this weekend to spend using your Amaze. Please don't jump queue.,btohqsg
Citi sold its businesses in selected countries within Asian to a regional bank  I think it was UOB that won the bid.https://www.citigroup.com/global/news/press-release/2023/citi-completes-sale-of-vietnam-consumer-banking-business-to-uob-group,btohqsg
UOB acquired Citi Malaysia. All Citi cards will be switched to UOB cards this Aug.,btohqsg
Now doing cross research of current UOB cards vs Citi cards. I heard UOB going to up their cards to match Citi card status.,btohqsg
Yes  citi online support is good 👍,btohqsg
hi guys  planning to get into investing and planning to deposit 500 to 1k sgd  any advise for which brokers to use amongst the many options?,btohqsg
Im still waiting for the revo cc and hsbc ega account sign up,btohqsg
Same. They said Paynow team is processing Revo reward  but for EGA no news,btohqsg
"ytd i randomly got a $50 from hsbc ""invest with us promo""",btohqsg
I also received it. Soon you'll receive $2.5 (25% cashback from investment commission fee),btohqsg
7.65% how come nobody mention anything about it?,btohqsg
As a secondary card. Becos no minimum spend required.,btohqsg
You need to check if you can meet its investment and insurance requirements to get 7.65%.,btohqsg
1 day after auction. Should be deducted in your OA by now.,btohqsg
Don’t focus on promotional headlines. Try read on fine prints and it’s T&Cs. Minimum 3.8% if you can credit salary  save and spend $500 on selected credit cards.,btohqsg
Hi  for MCC  how can one check the MCC of a clinic?I need to use credit card payment in a clinic within a private hospital. Not sure will it be a hospital MCC?,btohqsg
Quick qns.For uob one  bus/mrt rides considered in the $500 spending?,btohqsg
Oh thanks. Just check my CPF OA account. The deduction amount is the net amount. Principal minus interest.,btohqsg
Has anyone got approved to GXS yet? Been waiting very long,btohqsg
Does this apply to paying to overseas account?,btohqsg
Does using Amaze paired with citi rewards for Sentosa Monorail entitle the 4mpd?,btohqsg
Hi  may I know what's that? How to use it?,btohqsg
Enter merchant name n know which card best for rewards.,btohqsg
You can use the keywords “Simplygo” to search the chat history on this topic.,btohqsg
Will need to sign up in order to use it... Is there something which does not need any signing up?,btohqsg
Kris+ if use uob krisflyer master card  do i earn 3miles per $$ on top of the kris+ miles ?,btohqsg
Dear Gurus  which credit card (HSBS Revo  Citi Rewards  UOB Preferred Platinum) is eligible for 4mpd for Genting Cruise onboard shopping payment?,btohqsg
Do u all know if instarem amaze will earn points on local spending? Or is it only overseas spending then can earn the insta points?,btohqsg
Now got promo sir 4% Insta point. But must top up Insta wallet (use Mastercard for no fees). No credit card rewards from topping up Insta wallet  pls don’t ask,btohqsg
When using kris+ u will receive the kris+ points via the kris+ app that u can decide whether to transfer over the singapore airlines krisflyer points.. if not transferred within a certain no of days it will become kris+ points that can only use to offset kris+ purchases. The miles earned on the uob krisflyer master card will follow how it is on usual purchase,btohqsg
Hi my question is if i stack using uob krisflyer master card  isit +3mils per $$ on top of the kris+ app miles earnedThe UOB krisflyer master card i mean,btohqsg
normal times  overseasunder the 4x instapoint promo  local spending from Amaze wallet also get 4x instapoints,btohqsg
Yes  becuz the earnings from the kris+ is on top of whatever credit card rewards that u use,btohqsg
Hi gurus  am still new to these credit cards scene. Would like to know where/how to check the mcc for something we intend to spend on? Is there a list somewhere or portal to check? TIA.,btohqsg
Oh  nice! But need to top up amaze and use amaze to make purchases then can earn 4x?,btohqsg
yes  topup using mastercard no fees,btohqsg
Ok i just want to confirm its 3miles per $$ for uob krisflyer card cos i saw some fine notes but not clear,btohqsg
Hi. First time applied for t-bills. Got SMS saying I succeeded. But in the cpf dashboard  the amount deducted from my OA is a bit less than the amount I bidded for. Means what ah?,btohqsg
Deduction is based on cut off yield of 3.84%  not on the amount you bidded.,btohqsg
Ok no problem  the credit card earnings on points will still be valid even if u also earn from kris+  cuz i use kris+ quite often,btohqsg
What is deducted is the discounted amt. Example you use 1k for 6m tbill. On auction  cut off yield is 3.83 Sgr discounted $19.10. How you are deducted is 1k minus 19.10. On maturity you will get back 1k. Your effective yield minus all the bank admin fees is $19.10,btohqsg
