text,group
Ye but nothing mention in the notes,btohqsg
Whenever I come across this type of customer  i will tell them...while your customer is waiting for the food  my family is waiting for me to return home for dinner. Safety FIRST!,btohqsg
Take note guys. Here waiting time 20mins. Called them earlier said 5 mins be ready. End up total 25Mins waiting. Tash tish tosh at ECP.,btohqsg
Yup just take note  if come here take ur time to pick up.,btohqsg
It's normal. They ownself slow and late then they rush delivery guy,btohqsg
Now is it cannot see the restaurant name when you taking order,btohqsg
Y the gp chat now become channel for spam n advertising 🤷‍♂🧐,btohqsg
Isit sunday night always so quiet?  llm has no order for bike at all 🥲,btohqsg
Need two more order for the quest,btohqsg
Think i am dead. No hope liao,btohqsg
Hope got order. It’s super fast gone,btohqsg
have to drop off before 2359 to count?,btohqsg
Think should be take order before 2359,btohqsg
Anyone looking for a van? I have nv350 auto for rent. $1285 per month.(cheapest so far). Requirements 22 years old above and 2 years driving experience. Sorry admin don't ban me 😁,btohqsg
This is the accident that I saw.,btohqsg
That's 1 reason y I don't take too advanced jobs especially now when dine in is opening up. Expect restos to b more bz n have possibility of late especially wkends,btohqsg
I know it's resto fault  but alot of times llm will side with them cos they r llm customers. We r drivers expendable,btohqsg
The restos don't care u early bro  they only care u late,btohqsg
Nxt time just tell them cancel if they so late  cos u have so many orders to go do. Not worth risking ur life to rush. Also not worth ur other orders late just for 1 ordee,btohqsg
Hi. Can i check what happens if the picture of lalabag and bike i send is not approved or I totally did not send?,btohqsg
Recently keep seeing pple say London fat duck at Scott's late. Last time I collect is ok leh,btohqsg
or is there a dress code,btohqsg
Don't wear competitors uniform or branding. Haha.,btohqsg
"are ""pick up now"" orders more attractive??",btohqsg
U look at the price lor,btohqsg
U feel the price acceptable then u do,btohqsg
you know lah leh lor ?,btohqsg
U noe what is KNN CCB?,btohqsg
want be a scammer also need to be efficient. A few of us only you cannot cope. How to tan jia?,btohqsg
in my country   our Grandma can move/workfaster than u.,btohqsg
Estonia is the country; why are they contacting us? 🤣,btohqsg
ninjaOS partners with delivery companies such as lalamove and pickupp,btohqsg
could i get a sensing here  have anyone tried other delivery platforms and which is the worst and best?,btohqsg
No1 wants do delivery if have a choice,btohqsg
Pple who like grab will say grab good,btohqsg
Pple who like panda will say panda good,btohqsg
Ur this qn is open ended what's the pt of asking,btohqsg
No..when I drove past  the deceased already covered with the white cloth. TP was already there.,btohqsg
Good morning Guys How do I claim this voucher after the completion of 7 orders for the last 3 mentioned days?Anyone here already claim the voucher?,btohqsg
What's this? I never use this before in lalamove. How you hear about this,btohqsg
Ninjaos is just saying they have more than a few delivery apps that they can use. Means if pple use ninjaos to do delivery  then ninjaos can sub to a few platforms to help do the delivery  so don't need worry no drivers n delay delivery,btohqsg
Tat day i kena compensation claim where i am not late at all.  Lucky i was chatting with my friend on whatapps saying tis industry place have a restaurant. I screenshots n show llm on the whatapps date n time. Tis ppl sux man,btohqsg
Basically llm quite a few companies will use their service. U got see ninjaos getz via move etc orders sometimes,btohqsg
