text,group
Ya bros  chill chill   he just post here to help n he did explained also he slide wrongly nia,btohqsg
Ya lo  empty car all the way from bukit panjang to tampines  got grab hitch I still can covered with $15,btohqsg
Keep app on when returning tamp  bypass city  sometimes may get something back to east,btohqsg
On liao  Sunday night quiet also  bo sien la  go back kunzz  haha,btohqsg
HELLO RIDERS !Im selling this bag 43L away with very cheap price @ $23 only !! I left with 200pcs only . Want to clear everything out ! What u see in the picture is what u will get !! No bungee cord etc.  LELONG $23 ONLY . self collect at jurong! Deliver depends on your location !,btohqsg
Haha  I don't like this  will make car very messy,btohqsg
When I do llm. I don't use any bag,btohqsg
Stop over town..many jobs to east side..,btohqsg
See from other groups share here  of any bros interested can pm him directly I donno him also  ha,btohqsg
Ok la jace dun need type liao u win ok  im wrong n im sorry for stacking,btohqsg
Good for those rider doing panda and grab tgt,btohqsg
I got 1 med size styrofoam box and 1 small warmer bag..car wont smell,btohqsg
Grab food also can use foodpanda bag ma,btohqsg
2 drop off how much ?,btohqsg
