text,group
Quik show photo. If not we dun believe,btohqsg
Here got one yandaokiaNIcHhardworking if u single,btohqsg
Hahaha.@jibailexxand@joel1688both matchmaking as sideline ah? Keep promoting for singles.,btohqsg
Think I encounter you before. You buying dinner at the soup stall at food republic Westgate. Is that right? 🤣,btohqsg
https://instagram.com/shimmeristique?utm_medium=copy_linkHi there Do help to share around with your female friends and contacts. A very good friend of mine started a small online biz. Pls do support and share. 🙏🏽Appreciate it alot.#helpingafriend#supportsmallbusiness#homebased,btohqsg
I go there buy often sia!!!,btohqsg
.... only creepy when it’s right leh,btohqsg
Plus I really by chance one,btohqsg
is time to show ur muscle,btohqsg
The thing is how u know is ME? Don't think I share my pic here leh,btohqsg
Lol! Cuz@jibailexxmention your name. So I call u for help. Hahaha,btohqsg
Ask u help liao  give u chance liao,btohqsg
Hahaha. Now I curious how Max Yeo look like. Sekali really is coincidence 😆😆😆,btohqsg
Don't tag me  not good  like u saying vulgar,btohqsg
Sekali I 18 only leh. 😆,btohqsg
Lol! I read the Chinese. Still dunno,btohqsg
Coincidence leh. I was buying food and saw the person in front of me scrolling lala.,btohqsg
No leh. Hokkien Lang. Not banana/potato/tomato,btohqsg
The aunty at soup stall cute,btohqsg
Christina show photo then know chio bo liao 🤭,btohqsg
I like buy from her leicha. Hahaha,btohqsg
Tat day my wife ask me go commonwealth to buy leicai purposely,btohqsg
My standard ok la. Aunty like to give me more veg  happy. Hehehe,btohqsg
And they always welcome go back for refill soup. Refill till brim,btohqsg
My wife say this shop tea very gao,btohqsg
This one I think not bad. I always group buy this. Hahaha,btohqsg
Ask me drink one soup for the Cha I will vomit,btohqsg
Yoshi no meet up go ubi bang table ah,btohqsg
The one Max saw me? or maybe not...Is at Westgate basement de food junction. You reach can see a soup/leicha stall.,btohqsg
U la  I not available loao,btohqsg
She interest to meet you guys,btohqsg
Lol! I never eat at the stall itself before 😆,btohqsg
Only order delivery  groupbuy to Clementi. Next time see the order  take!!! Can see me 😆😆😆,btohqsg
In aunty clothes at the unit. Lol. Then all run away liao,btohqsg
Walao  u ask me go geylang,btohqsg
Let's go ubi meet up one day 😄,btohqsg
Dunno exact stall. Only know good. So group buy. Sit at home wait.,btohqsg
So don't stack my order pls next time. Hot hot give me eat 😋,btohqsg
Sound very wrong Sia. To ask a guy go geylang 买吃的,btohqsg
You must ask elf and yoshi,btohqsg
My laoda sleeping  mc nua liao,btohqsg
As long as u in sg,btohqsg
We got bros at tampines  jurong   woodland   downtown,btohqsg
Nich can pillion you go 🤣,btohqsg
Wah so many Jurong. GG. Cannot Siam. 😆,btohqsg
You got see flying cast before bo?,btohqsg
I help u record another angle. Lol!!!,btohqsg
The cast from tampines can fly to ubi hq one,btohqsg
Later come out u man bigger size than me,btohqsg
Ubi flip table i want see,btohqsg
