text,group
♻️💚 The 3Rs in Sustainable Caregiving – Regulating  Resourcing  ReflectingBrought to you by AWWA CREST and Care Corner Insight  the community mental health agencies of elderly and youth respectively  and both of us serving Northern Singapore.Signup link:www.bit.ly/novembercaregiverweek3Zoom Link will be sent to you after you sign up.It's will be our final week for Sustainable Caregiving  join us for the panel discussion happening this Saturday 20 Nov 2021!Week 3:🌠 *PANEL DISCUSSION – ENGAGING IN REFLECTIVE PRACTICE*“How can we find purpose and meaning in caregiving?”Panelists: _A caregiver Mdm Maya  Ms Lim Si Huan (IMH) & Ms Bettina Yeap (Care Corner INSIGHT)_🗓️ Date: 20 Nov 2021 (Sat)🕙🕦 Time: 10am -11:30am,btohqsg
I have problem using the WR code or the link. Does not seem to work. Pls advise. Tks,btohqsg
Thank u for the link. Have registered 😊,btohqsg
See you this Sat  Jane 😄,btohqsg
Margaret Ong  author of One Husband Two Men and CAL volunteer trainer  cares for her husband who is diagnosed with schizophrenia. Hear her intimate story over a series of talks  as she shares about her ups and downs in her caregiving journey.In the first talk in the series  Margaret will share how she overcame her struggles to separate the illness from her husband.This is Margaret’s effort to help other caregivers and raise funds for CAL  so that we may continue reaching out to fellow caregivers of persons with mental health issues. Participants are welcome to purchase a copy of her book via Word Image (https://www.wordimagesg.com/product-page/one-husband-two-men). A portion of sales  proceeds between now and 31 March 2022 will be donated to CAL.Register for the session athttps://forms.office.com/r/93b7hpis9wZoom details will be emailed to all participants by 25 November 2021  Thursday .For more information  visithttps://www.cal.org.sg/post/one-husband-two-men-session1,btohqsg
[Inclus]We’re excited to announce our diversity-inclusive impact series for people with disabilities  which will be launched next month.On this programme  participants will be assessed across various industry-relevant skills  after which  they will be placed in jobs with our inclusive partner organisations. On top of that  participants will also have the opportunity to network with industry professionals to give them an extra boost.Interested or know anyone that is looking for employment - let me know here & I will reach out to you directly. Similarly  you can email me atyushan@inclus.sgfor more details.,btohqsg
Good Afternoon  All! 😁COMIT@Viriya will be launchingFinding Strength in Difficult Times- a 3-part support group series  where individuals impacted by COVID-19 are given an avenue to reflect on their experiences and to support one another.Dates and Time:7 December  14 December & 21 December 20217.00pm to 8.30pmRegister here:https://bit.ly/COMITdecRegistration is open till 1 December 2021.If you have any further enquiries about the programme  please feel free to PM me or drop me an e-mail atcherylgoh@viriya.org.sg.Thank you and have a great day ahead!*Viriya Community Services (VCS) is a social service agency founded in 2001. Every year  our multi-disciplinary team of social workers  counsellors  family therapists and psychologists support thousands of individuals and families.,btohqsg
Thank u and HappyGrandParents Day 💖,btohqsg
Join us for our Trauma-Informed Care (TIC) Workshop for Parents and Caregivers on 11 & 18 December 2021.Trauma-informed care means shifting from the medical question of “What’s wrong with you?” to the question of “What’s happened to you?”. Children who are thought of as difficult  rebellious  anxious  fearful  or aggressive often have unseen trauma that is affecting them.In our TIC talks & workshops targeted at parents and caregivers  you will learn about adverse childhood experiences (ACEs) and how they can impact mental health  and how to implement trauma-care informed care in your daily interactions to help children process their emotions and experiences.Register for this workshop athttps://www.cal.org.sg/registration-1/trauma-informed-care-2Zoom details will be shared with the participants after the registration deadline.,btohqsg
Hi Is there any recommend app games for dementia user to play?,btohqsg
