text,group
I appreciate the haircut and muscles   that's about it,btohqsg
Like what’s wrong with liking ppl without sexual attraction,btohqsg
IDK WHETHER STILL GON REOPEN SIA HAHAHA,btohqsg
If you are not sexually attracted to the person in the picture then what are you attracted to,btohqsg
They will only close if suddenly the infection rate goes KABOOM,btohqsg
Unless they change to red alr,btohqsg
his personality is better than 99.5% of guys ive met,btohqsg
People I have strong emotional connections to,btohqsg
Then you've met the wrong guys,btohqsg
Wow. Love is in the air,btohqsg
Unlike you the rest of us has no idea who on earth that is,btohqsg
Lol idc  I want to die UwU,btohqsg
To be part of the culling of our population is an honor,btohqsg
just get covid then lick some doorknobs,btohqsg
You already have a bf  no?,btohqsg
if i get someone who has his personality alone  dont even tak abt looks  i think i win lottery liao,btohqsg
I said I want to die  not that I’m actively seeking it,btohqsg
Well  if you find a better one  may as well jump ship,btohqsg
If it comes  I’ll welcome it 🙃,btohqsg
Just when I thought this chat was better since it doesn't have certain people talking  it slips into degen territory again,btohqsg
Thermometer touches everyone getting scanned  more infections/s,btohqsg
Yeah  but not trustworthy if all a girl does is hop guys,btohqsg
not rlly  i know him online and LDR doesnt work,btohqsg
he is in eastern europe  lets just say video calls and constantly longing to be by one's side is hell on earth,btohqsg
Just anyone in general that hops  be it clans  partners  jobs,btohqsg
That doesn't make sense  if he ain't your boyfriend,btohqsg
I don’t trust them  no sane person can take that much cardio,btohqsg
What if I hop in CSGO,btohqsg
I will scream like ur the devil,btohqsg
I think even companies black list if you hop like xiao,btohqsg
(Side note  I probably won’t actually scream if I see the devil),btohqsg
How would you know what the devil looks like,btohqsg
20 companies in one year? People go through toilet paper slower,btohqsg
how tf do u get hired by 20 companies in a yr,btohqsg
Spend half a month in each company,btohqsg
"""It says here you have a medical degree""""And?""""Sir this is KFC""",btohqsg
And when the patient woke up  his skeleton was missing and the doctor was never heard of again,btohqsg
Anyway  that’s how I lost my medical license,btohqsg
He promptly realises he’s a ghost,btohqsg
Oh I love meet the medic,btohqsg
why kfc no delivery past like 10pm one,btohqsg
Cause nobody wanna drive at 1 in the morning,btohqsg
You know what else I want?,btohqsg
am i the only one who doesnt eat frues,btohqsg
I ate 30 burgers a week for 6 weeks,btohqsg
I didn’t say you weren’t a macdonalds customer,btohqsg
Oh well you’re a timelord you have 3 hearts,btohqsg
Eat fillet o fish  salad  and coke zero,btohqsg
since when the doctor have 3 hearts,btohqsg
All of them were meals  with huge burgers,btohqsg
Nah  dating apps ain't my style,btohqsg
I know a guy from NUS,btohqsg
If you want fwb then use apps,btohqsg
must learn from the expert heather sia,btohqsg
I use Snapchat for that XD(Plus dating apps people are there for a reason),btohqsg
hmmm or is it from experiences hahaha,btohqsg
But dating apps usually have weirdos that wanna kill you,btohqsg
Oh hell nah  my friends might see it (and I ain't desperate for pussy),btohqsg
dont need to know  but ok,btohqsg
explain your intentions of treating them to dtf,btohqsg
no harm  just need a reason,btohqsg
It's a baby made of sugar,btohqsg
studies show that more and more uni kids are looking for sugar daddies,btohqsg
what the fuck is this chat,btohqsg
Do whatever you want  just dont kenna std,btohqsg
its okay@IcedMilou should see another groupchat that i am in man,btohqsg
I want my iced milo with sugar,btohqsg
I have lots of friends who sugared,btohqsg
Janitors aren’t cleaners  they’re environmental engineers,btohqsg
they are talking about censored stuff like cough cough in a poly public group chat,btohqsg
Some escorts get fucked if I'm not mistaken,btohqsg
time to blow all my money away to buy friends,btohqsg
What is this no true Scotsman,btohqsg
just dont get covid in the process,btohqsg
‘Those aren’t real escorts!! They have sex!!’,btohqsg
the worst that can happen is I die,btohqsg
negative for covid 19 but positive for syphillis,btohqsg
Oh yeah  now is $630 for y'all,btohqsg
Speaking like you’re not a recroot too,btohqsg
its okay bro  as what one of my senior work colleague often tells me and 2 of my other work colleagues  its okay if humans get injured or die but its not okay for equipments to get injured,btohqsg
DO U KNOW THE IMPACT IF EQUIPMENT GET INJURED ???,btohqsg
it costs more than your medical bill,btohqsg
the thing is they dc if we get injured or not they care about their equipments hahaha,btohqsg
Over the internet no one knows how old you are,btohqsg
Yes that’s what we all meant,btohqsg
Buy online  send to your friend so that they can keep for you,btohqsg
erm technically u can get someone 21 to go in with u,btohqsg
Can’t tell if discord or telegram has worse degen hours,btohqsg
the short one or the long one?,btohqsg
I know a 30 year old African American who's into 16 year old chicks,btohqsg
You know a lot of weird people,btohqsg
erm the tiny winer? if uncensored,btohqsg
hahaha being so done with us,btohqsg
Yeah  size is nothing if you don't know how to use,btohqsg
erm she's an expert and experienced,btohqsg
No one wants to hear abt ur sex life,btohqsg
If u want pls bring it to DMs,btohqsg
too dragged down by life to bother about a chat group rn,btohqsg
Why is everything to you about relationships,btohqsg
It's where I excel I suppose,btohqsg
but if y'all think that these kinds of conversations are appropriate for a chat group meant for students between the age of 15-19  then ya go ahead,btohqsg
if relationships convo then yes its more than appropriate for 15 and above,btohqsg
Because that’s how it be sometimes,btohqsg
But you enlisting next week right,btohqsg
I just don't want the chat to go into extreme levels of detail,btohqsg
because apparently that's all that youths nowadays are caught up with,btohqsg
i mean to be fair 15-19 yr olds have RS and then when break up its like the end of the world,btohqsg
"part of ite tagline: ""hearts on  hands on  minds on""",btohqsg
As you age relationships aren’t the world to you anymore,btohqsg
Sad that you lose the romantic sentimentality,btohqsg
Good that you become less obsessive,btohqsg
That’s how it be when all u want is someone to love u,btohqsg
good too to become jaded? HAHA,btohqsg
Jaded is just another word for realist,btohqsg
i hv a friend the sister 28 29 still single tho,btohqsg
then we obsess over what we lose,btohqsg
1) dw rls and enjoying life2) can't find love,btohqsg
She’s a woman she doesn’t need a man to be a confident and brilliant individual,btohqsg
awkward sia first time meeting her with the family,btohqsg
bet she has that tomboy hair cut,btohqsg
