text,group
Don’t be a CB mouth 👄. Hahaha,btohqsg
Love & Co. Mother's Day Special💋 Till 10 May💋 Purchase Love & Co. e-Gift Cards & enjoy extra 20% credit (e-store credits and a grab food voucher)💋  Enjoy 5% off on all gifts and get additional discounts up to 10% off on specific collectionsShop here:bit.ly/lovecoxsgbb🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
🍣Sushi Tei 1 for 1 Promotion🍣🎉 📣 Sushi Tei Singapore is having their 1 for 1 Promotion. Enjoy 1 FOR 1 Salmon Rose Don & Free Salmon Salad with Every Unagi Hitsumabushi this Mother’s Day.1 for 1 Salmon Rose Don (S$12.80)Slices of salmon are artfully fanned to form the petals of a benibara (rose) sitting on a bed of fluffy Japanese rice. In hanakotoba   the Japanese form of the language of flowers  the benibara represents love and your affection for your mother.📅  5th May 2020 to 11th May 2020📍All Sushi Tei outlets in Singapore🔗 / 📸https://bit.ly/2y6xQ1B🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
💰Qoo10 Mother’s Day Special Sale💰🎉 📣 Qoo10 Singapore is having their Mother’s Day Special Sale. Save UP TO 70% OFF electrifying and coolest Tech Gadgets of 2020.📅  29th April 2020 to 3rd May 2020📍Qoo10 Online Store🔗 / 📸https://bit.ly/2So4mTN🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
Tuk Tuk Cha: Ramadan Set👉 Enjoy Abundance Meal or Happiness Meal with family today!⏰ Order viahttp://outlets.tabsquare.com/TukTukCha/📍 Available at selected Tuk Tuk Cha outlets🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
Any idea where to buy type C cable at West side?,btohqsg
Why tuktuk cha can ads ?,btohqsg
Pls make up your mind admin,btohqsg
@sgcheapois our own groupI believe u have ad in@sgfreemarket,btohqsg
When does circuit breaker ends as of now?,btohqsg
anyone has marketing/event job full time? drop me a text,btohqsg
Anybody has a slot for spotify premium family? Pm me pls. I’m keen to join,btohqsg
hi all  as you know  most new bto got this 3/4 windows for living room. is it a good idea to put a bed across the 3/4 windows or a study table  or a sofa like this?,btohqsg
Cause only living room got this 3/4 windows,btohqsg
New bto flat Windows are not allowed to change or remove,btohqsg
hi boss lady...  how r u?? how r the rest ?,btohqsg
Rain comes in onto the bed  plus pests unless u lock windows all times,btohqsg
Bad idea. Later roll out of bed the wrong way and end up at void deck how?,btohqsg
No. windows leak. Rain goes on bed. Sleep with molds,btohqsg
It'll be warm & noisy..plus daily hassle to get in and out of bed if there are 2 of u.,btohqsg
Anyone know online stores that has good deal for laptop with delivery?,btohqsg
Thanks I need to do more temperature testing on my current solar film,btohqsg
Have you seen how big your room is? Space maybe a constrain if your room is small,btohqsg
The morning/afternoon sun shine which side  solar film also may be useless. The outside wall being cooked  aircon has to compensate,btohqsg
i only on aircon in the evening i have nv on aircon in the morning or afternoon before. i choose 182 cause i knew the wall will be block by both morning and evening sun,btohqsg
180 is blocking the morning sun from my wall,btohqsg
184 is blocking the evening sun from my wall,btohqsg
only left my windows to double glaze,btohqsg
Bubble tea lover  you all still gonna wait,btohqsg
SBCD Korean Tofu House: 25% Off All Day Menu🔹 Valid for delivery & self collection🔹 Promo code: <BETTERFEAST>📍 Millenia Walk  #01-114Order here:bit.ly/3d1NutP🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
🍗 KFC 🍗✅ $23.95 for 6 Pcs Chicken  2 Zingers  2 Med Fries (U.P. $36.60)✅ End date unspecified✅ Takeaway & Delivery🔴 Source:bit.ly/2VTkmiB📍 Store Locator🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
💍 Swarovski 🎀➡️ Up to 40% off➡️ Free delivery📆 Now (limited time only)👉 Shop now:bit.ly/2WdlFYM❗️ Online purchase only🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
🍣 Sushi Tei 🍣➡️ 1-For-1 salmon rose don➡️ Free salmon salad with purchase of Unagi Hitsumabushi📆 5 - 11 May📍 Takeaways  Delivery  Deliveroo & FoodPanda🙅‍♀️ Raffles City & Jewel❗️ Promotion is stackable🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
🥤 Bober Tea 🥤➡️ Islandwide delivery (Min. spend $15)📆 Daily (end date unspecified)🕕 11am - 10pm👉 Order at:bit.ly/3bOoGVX💃 $10 flat delivery fee❗️ Limited slots daily🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
Anyone has a slot for Apple Music family plan?,btohqsg
Why always got this kind of pple want to say bad things about Singapura,btohqsg
Govt so good.... allows us to defer so Many kinds of loans,btohqsg
U still have to pay the interest accured during the defer period. In total  you pay more when u defer the loans.,btohqsg
What’s wrong with that? The problem is the payment of the Loan not the interest bah,btohqsg
Nothing is wrong with that. It is individual's decision.,btohqsg
Good I am just saying it must be a good thing to have this option.... it is never happened before on a blanket level,btohqsg
🍛Kotobuki 20% off Promotion🍛🎉 📣 Kotobuki Singapore is having their 20% off Promotion. Enjoy 20% OFF For Selected Item.Order in just a few simple steps.📅 4th May 2020 to 7th May 2020📍Kotobuki Online shop🔗 / 📸https://bit.ly/2SuHemx🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
From sin chew daily wor. It's the most respected Chinese newspaper in Malaysia  but Malaysian Chinese intellectuals are very in love with CCP.,btohqsg
hope u guys r doing fine...,btohqsg
Okie  I kowtow when I see her.,btohqsg
Anyone have a room to rent out?,btohqsg
"There's also ""sovereign being""  which means some new age woo-woo about being an individual in control of your own life",btohqsg
Mine with water 💦 bed. Hahaha,btohqsg
Haha. Sovereign no need to personally come down shop mah. Can always order her servants and butler to do,btohqsg
I thought her pass has been revoked previously? She is still in SG? Dafuqq,btohqsg
Guys wanna ask a question. Pls advice. My friend wanna give up some furniture  is there anyway we can collect it from them or after the circuit breaker.,btohqsg
Can collect but do it discreet,btohqsg
Do anything but dun get caught,btohqsg
better not do it now.. furniture ... too bulky to be discreet,btohqsg
nowadays ppl very free ... like take pictures and report,btohqsg
Everything phone take out take pic take video post facebook post stomp...,btohqsg
Thought previously there was a news saying that her pass has been revoked. Wah how can she is still here,btohqsg
Who is she ? Sovereign? Simi sai sovereign.  Send her back lah this is SG nor her country,btohqsg
Ask her put at corridor. U go corridor collect. No contact collection,btohqsg
How to deal with all this ppl who ask u all buy for them things,btohqsg
Haha this is a good one.. too many scammers nowadays,btohqsg
🍛Jack’s Place Mother’s Day Takeaway Meal Promotion🍛🎉 📣 Jack’s Place Singapore is having their Mother’s Day Takeaway Meal Promotion. Starting from $88+ for Set Meal Bundle for Two. Celebrate Mom this Mother’s Day with a Takeaway Meal at Home! Available from 8 to 10 May  for Takeaway orders only with 2 days of advance order.📅 8th May 2020 to 10th May 2020📍All Jack’s Place restaurants Order for pick up🔗 / 📸https://bit.ly/3fe6HKy🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
"Diplomatic immunity is it? Since she is ""sovereign""",btohqsg
I always see people scold garman,btohqsg
Have u took the test and paid the Deposit ?,btohqsg
If not speak with the Cs using chat function in app,btohqsg
Why not ask movers this question? Moving house is allow under the CB. So it a bit grey,btohqsg
Strange that u will ask this Qn given that u dare to disturb the police,btohqsg
It’s not grey  move house is not move furniture:),btohqsg
Ask the movers to be safe.  They should know since logistic are classify as essential services,btohqsg
Got hair Long is v good!!,btohqsg
The longer ur hair is the better,btohqsg
"""We like what is given out in the food packs. The items provided help us cut down on living expenses so that we can spend on other things like medical bills.” - Lim Geok Kheng",btohqsg
