text,group
thought she already kena claim liao,btohqsg
Now don’t even know who is who,btohqsg
So angry bird can spend his lazy Sunday in bed with gary,btohqsg
50 years old still look like that very good liao,btohqsg
This year all the old bird  new bird  radio all fighting for top 10. Just see it as entertainment.,btohqsg
Wah all watching star awards sia,btohqsg
My sis like those younger ones,btohqsg
Someone commented “I ask these questions before why no one scream for me?” And another commented saying “I ask already the girl scream and called police”🤣,btohqsg
Try those lines  not ask you to say something 变态,btohqsg
I cfm somehow make it 变态 de,btohqsg
I know. 变态 is in your blood.,btohqsg
Should be. I only know she Malaysian.😂,btohqsg
and a red mark across your face,btohqsg
Wah the hosts for the award ceremony is 陶晶莹 & 李腾,btohqsg
"He will go on stage and collect the award in his ""bruhhhh""",btohqsg
I suspect elvin ng is gay😂😂😂,btohqsg
He got abit gay vibes. I think so far no mediacorp actor declare gay also,btohqsg
Cos u busy looking for target to poke piggu,btohqsg
Nv watch local drama much. So cant totally recall how is he like lol,btohqsg
Then they poke yours thats why,btohqsg
Is it like having same vibes as you? 🤔,btohqsg
Maybe as smoke screen. Same like@Arecanecrafter,btohqsg
Got XMM  got bots  got DJJ  got SZB,btohqsg
Maybe with the shape of a pan or wide hand 😂,btohqsg
Might happen but who knows 😂,btohqsg
Omg the performance is a joke,btohqsg
So long never come out  dunno still can perform or not 😕,btohqsg
I don't know what he act.😂😂,btohqsg
Rebecca lim really cut short hair lol.,btohqsg
she like gained a bit of weight,btohqsg
Their performances all like so forced,btohqsg
Actually u like oversea drama right,btohqsg
Yea i rather watch mandalorian lol. No offence to local shows. But i find the acting to be rather cringe and storyline also boring.,btohqsg
Think they kana arrow perform prolly...like how u kana arrow for projects in office 😂,btohqsg
Jam hsiao same age as me.😂,btohqsg
His mic personal use. All the show he use this mic.😂,btohqsg
Tiagong jam Hsiao didn’t manage to launch his career in China,btohqsg
His bbt shop all close down liao.😂,btohqsg
I’m not. I just came in to gossip about Jam. Lol,btohqsg
I watching ted lasso instead lol,btohqsg
Waste time leh the star awards,btohqsg
Not sure. I think so. Read it somewhere in tw news.,btohqsg
Earn bu dao money in China,btohqsg
We ageing one more year next month 😫,btohqsg
Wah he sing all the high song.😂,btohqsg
Cannot fight like those china audience.😂,btohqsg
All old hag still hogging the awards,btohqsg
You nvr see 刘谦益 sing just now,btohqsg
That's why not much new talent in mediacock😂,btohqsg
They know this industry cannot liao,btohqsg
