text,group
I know no one there sia,btohqsg
Nvm la got chiobu u will auto mingle liao,btohqsg
haha maybe they auto come to u,btohqsg
aiya of coz la...as a start for him,btohqsg
if you all dun abandon me I consider consider ~,btohqsg
I go cos near my house 🤣,btohqsg
Look at me know Liao ~,btohqsg
Later u go there sing super shy,btohqsg
okok later I go check check date,btohqsg
Hao de.U update ur name can le,btohqsg
And whether u want buffet or not,btohqsg
i am more shy and introvert than u...that why i no go,btohqsg
new Jean no more right ?,btohqsg
Just that now they dun have new songs,btohqsg
they change mgt due to unfair treatment,btohqsg
still better than the Big Bang predator guy,btohqsg
Think he got released liao now still doing evil stuffs I think,btohqsg
tbh  you are so focused on building your body is because subconsciously you want the attention,btohqsg
hmm...in a way you are definitely not an introvert,btohqsg
nah I want to die looking nice,btohqsg
my PT said...he want to die BIG,btohqsg
Go big or go home 🤣,btohqsg
Ok la this one abit more sadge  cause I see so many old people  single people like they old liao can’t move properly  need rely on people and such  I dun wanna become like that,btohqsg
That’s why I wanna train until even at 80 year old I can do what I want without relying on anyone,btohqsg
Huh? I always hear my frds use this phrase,btohqsg
i always hear it on radio,btohqsg
very sad to be at the mercy of others ~~,btohqsg
So no ~~ I refused !,btohqsg
I will die a fit old man wahahahHH,btohqsg
not at the mercy but everything have to rely on someone else to do it for u,btohqsg
yea cause not all children are filial also,btohqsg
Some you old liao they dun bother,btohqsg
Or like you have to beg them for help and such,btohqsg
I’m like eww no way I be like that,btohqsg
Honestly now you cannot have children thinking that they will feed you till old age,btohqsg
that kind of mentality is not feasible nowadays,btohqsg
yea but there’s a certain cycle I feel is like when you young and helpless they give you and lead you to being independent but when you old liao you requires the same care some time as well so it’s a give and take thingy,btohqsg
You gave birth to me it’s your choice and responsibility,btohqsg
but it's sad to think that your own children not able to take care of you when you are old...unlike parents take care of them when they were just born...,btohqsg
Just train for healthier body and lifestyle,btohqsg
And old n can go travel ~~,btohqsg
Singles like us who are not married and do not have kids...have to rely on ourselves more,btohqsg
I never ask you to give birth to me,btohqsg
So now I grow up liao it’s my life to live,btohqsg
really leh...my colleagues those in 30s...dont want kids,btohqsg
Try to beat his record haha,btohqsg
I also dun wan lol unless I rich,btohqsg
Yday night i did some stretching on my legs b4 slp. The night cycling my injured knee cannot 😅,btohqsg
my colleagues in 40s are like slaves to the kids,btohqsg
As in... in the air cycling.. i cycle like 3 mins.. so tiring lol,btohqsg
ah ok  keep doing will get better ~ but do slow ba,btohqsg
#CNA#SingaporeShaking reliance on sodium an uphill task as authorities look to improve health of SingaporeansDecember 03  2024 at 02:47PMThe government is looking to implement a mandatory nutrition label for packaged salt  sauces and seasonings  instant noodles and cooking oil.https://ift.tt/XFCyB8tMore athttps://t.me/NewsRoomSG,btohqsg
Some of my colleagues all asked how did i slim down all that,btohqsg
They say i look totally different than before,btohqsg
1 year ago vs 1 year later lol,btohqsg
haha same lo...my classmates all cannot recognise me,btohqsg
Yeah.. slowly lo.. after stretch.. today my legs not that tight,btohqsg
One of the senior manager cannot recognise me lol,btohqsg
He tot i m new in the company,btohqsg
Then i say my name he was like wtf,btohqsg
Cos i very long never see him,btohqsg
Dun lie you went Korean right!,btohqsg
Until that time got a meeting,btohqsg
TBH guys transformation is faster than girls...girls metabolism near menopause really slow down alot alot,btohqsg
I went through abt 1 year hell training lol,btohqsg
I got look so different meh?,btohqsg
A few years ago u met me and now got diff?,btohqsg
Monday weights 4 hours Tues tabata abs wed weights 4 hours Thursday tabata abs Friday weights 4 hours sat tabata abs sun rest,btohqsg
his sentence ünless you go ham...meaning?,btohqsg
About 7 years ago i damn fat sia,btohqsg
I burnt 10 years of my life in that 1 year 🤣🤣🤣🤣,btohqsg
cause when you got the motivation to chiong and take the first step for something  it’s best to maximize that drive so that you in so deep liao you have no chance to back out 🤣,btohqsg
i took about 1 year or plus to lose 26 kgs,btohqsg
Ok la  that time covid i saw u is when? Few yrs ago  where got so fat?,btohqsg
At most i lost 15kg for 9 mths to a year,btohqsg
i worked damn hard...now hoping i can do back the same,btohqsg
Then i gain back  cos i sprain my ankle,btohqsg
Mine was about 66-67kg usually then I become skinny fat at about 82kg then I see my tummy I’m like f…. lol so I cut down to 65kg then now bulking back to 80 then maybe cut to 75,btohqsg
have to make it into a habit,btohqsg
It’s ok wait till it recovers ~~,btohqsg
recently i see my wt climbing again...that why i decided to change my diet,btohqsg
That time not as fat liao,btohqsg
Now is more serious de issue. So will drag till next year end bah,btohqsg
yea it’s a habit and lifestyle de  once you stop it will just slowly return to how it was,btohqsg
most importantly is recovery first ba,btohqsg
i change to my current job...no chance of exercising...luckily my old boss left...at least i got breathing space now,btohqsg
Everything else can be done with hard work just harder or even harder that’s all 🤣,btohqsg
ya...you do at own pace...being healthy is more important than anything else,btohqsg
Yeah.. now 1 of my leg is swollen .. 1 leg big  1 leg small,btohqsg
it’s ok my nene also ahahahaha,btohqsg
One nene G one nene F,btohqsg
At least urs is hidden lol,btohqsg
so now i can go exercise after work,btohqsg
Hmm doesnt seem so. I tried a few days,btohqsg
Can touch ur neh when see u.. i want to test if its hard 😂Eh jk jk... later u thot im a se po po 😁,btohqsg
so you need to take blood thinner med?,btohqsg
I recently training my nene too,btohqsg
Got a line in between liao,btohqsg
one of the reasons why i started doing pushups also,btohqsg
my bf nehneh can move de,btohqsg
you know what nehneh is made of,btohqsg
Many ppl think push up are going down,btohqsg
But ok la so far the girls I know focus back leg and butt more,btohqsg
later i go home and see the video,btohqsg
Yes  am taking since 1 mth ago,btohqsg
I now do pushups with his information,btohqsg
But this is the correct way,btohqsg
i will share this with my bf,btohqsg
I watched a lot of his shorts,btohqsg
End dec.. see other specialist.. vascular dept,btohqsg
after taking blood thinner med  do u see any improvement?,btohqsg
But my knee still feel tight,btohqsg
Don't they have those med that can reduce or dissolve blood clots?,btohqsg
what are the options that the doc suggested?,btohqsg
End dec then i update 😁,btohqsg
#ST#Singapore24 children at a Little Seeds pre-school down with gastroenteritis; 7 taken to hospitalDecember 03  2024 at 03:20PMLittle Seeds' 15 other branches remain unaffected  said ECDA.https://ift.tt/nlor5CKMore athttps://t.me/NewsRoomSG,btohqsg
1 more.. then 7777  777 😁,btohqsg
Finish Back workout then do pull up is torture,btohqsg
smh smh another abbreviation...shake my head?,btohqsg
"My taiwan col very cute . My boss call her. She say "" 在‘ ’",btohqsg
Brain now no oxygen to think liao hahahahaha,btohqsg
bian tai ~~~ Tao Yan 🙈,btohqsg
bu Yao exposed wo ~~~ 🤣,btohqsg
so you are the bian tai-est of all,btohqsg
Don't anyhow. Later lurkers report the channel.,btohqsg
Oh ya remember that time we went out and I couldn’t decide which heels to get?? I changed for the white one 🤣,btohqsg
U bring out n change ah?,btohqsg
moments before you participated...you were lurking 😝,btohqsg
Disagree. I just popped into the channel. Lol,btohqsg
There were times when you just merely putting stickers on our comments...🧐🧐🤔🤔,btohqsg
haha okok...i better stop disturbing him,btohqsg
#CNA#SingaporeLorry driver fined for hitting Chinatown link bridge with unretracted craneDecember 03  2024 at 03:27PMThe accident happened on a busy road near peak hour  and it was fortunate no one was injured  the prosecutor said.https://ift.tt/MgcX19QMore athttps://t.me/NewsRoomSG,btohqsg
i give you one horse hor,btohqsg
Ok lo.. u win. Everything u say is valid. Other people's views don't matter..? 😏🤔🙄,btohqsg
I don't want horse la.. no stable to keep.. and poop need to clear. 😏🤣😂,btohqsg
my friend say my back got Dorito Liao,btohqsg
#ST#SingaporeMotorcyclist  57  dies after MCE accident involving lorryDecember 03  2024 at 03:35PMA 35-year-old male lorry driver is assisting with investigations.https://ift.tt/awSLXWqMore athttps://t.me/NewsRoomSG,btohqsg
#ST#Singapore690 000 Singaporeans have used $500 SkillsFuture Credit top-up  which expire end-2025December 03  2024 at 03:50PMFor those 60 and above  21 per cent of them have used their credits.https://ift.tt/4cZqmWxMore athttps://t.me/NewsRoomSG,btohqsg
#ST#SingaporeMan arrested near Tanjong Katong Complex after knife  vapes and drug utensils found in vanDecember 03  2024 at 03:55PMThe van was involved in an accident with another van and car.https://ift.tt/eCxQUWuMore athttps://t.me/NewsRoomSG,btohqsg
#ST#SingaporeRecalcitrant sex predator  63  gets 20 years’ preventive detention for safety of girlsDecember 03  2024 at 04:10PMHe sexually exploited a 15-year-old who attended his religious classes.https://ift.tt/ke64NfHMore athttps://t.me/NewsRoomSG,btohqsg
Open! We help u see 😂,btohqsg
NEA just updated. East side raining. Rest of SG dry. 😂,btohqsg
Faster rain..7pm stop can le 🤣,btohqsg
