text,group
guyssit or suss or sim-ge accountacy better,btohqsg
U mean. They all hve accountancyNow?,btohqsg
Keep forgetting your SingPass username and password? Set it up once on SingPass Mobile for password-free logins next time.Download SingPass Mobile athttps://singpassmobile.sg/share?src=g3e1a0,btohqsg
I'm a contact tracer. Singpass mobile is faster for SafeEntry compared to the website on the we codes,btohqsg
This is damn useful to do a lot of Govt stuff like check CPF or check iras tax etc,btohqsg
hahaha he sure is desperate for the job,btohqsg
Do u have young kids at home?,btohqsg
If not wrong they paying around 2.5-3k right?,btohqsg
knn they stingy with the payshould at least pay 6k,btohqsg
Hey  you guys like Thai food?,btohqsg
Ur right ....sadly they don’t realise that ...or just freaking stingy,btohqsg
Aiyah anyway I know u are just kidding,btohqsg
You apply also might not get in,btohqsg
hi fellas!!!! how r u guys??,btohqsg
Sux to have no friday night 😂,btohqsg
@alvin_alvincan tell everyone stop dm’ing me pls,btohqsg
government got say if they safe entry thing going to end on 1st June?,btohqsg
Thanks for sharing . A good break at this time,btohqsg
Anybody got other delivery lobang. Either then grab  foodpanda. Related to food or drink only.,btohqsg
Anyone know where to find a cheap clinic near sengkang area?,btohqsg
Of course continue for the next few months at least,btohqsg
any idea sg jb custom when  will open ?,btohqsg
we try request ask sg~maloy athoritities relax this n open up .dun know can or not .,btohqsg
pity both side country people .not only sg side,btohqsg
🍗 Wing Zone 🍗✅ 1-For-1 Burgers/ 8 Pcs Original Wings / Chicken Quesadillas✅ Until 31 May✅ Takeaway only🔴 Source:bit.ly/2Tby1Qq📍 Bugis+ #04-02  SAFRA Punggol #02-02  10 Tampines North Drive 4 #01-05🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
🍝 Kith Café 🍝➡️ 1-for-1 Pasta📆 Now - 1 June💃 Takeaway & Pick-up only📍 Selected outlets👉 Source:bit.ly/3cCg4Cm🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
ok mayb u r rite .highly toxic n easy get vrus,btohqsg
Can share the price ? it would be better,btohqsg
You sell more expensive than Sheng Siong for what?,btohqsg
Go to the sengkang polyclinic. Cheaper than anything because got gov subsidy,btohqsg
Better not rush in. Besides MY always use SG as a slapstick in their politics. Got money circulate within Singapore to keep the country economy going will be better la,btohqsg
Doing alrite dude hope you're 👌🏻,btohqsg
Sorry are we allowed to share telegram for stock investing ?,btohqsg
can ask admin for permission first,btohqsg
No ads allowed here. Or any group invitation,btohqsg
Hi fortune teller.When will i get the goverment support grant money @R.Chauhan,btohqsg
july ?yo estimate or …?figure covid still high sg or maloy both agree?,btohqsg
Wa only can hear till 12k,btohqsg
Doctor just check no issue leh,btohqsg
You tell the doctor to see the video,btohqsg
Isnt it good that he hears until 12 k i hear untill 11k,btohqsg
Then you better see doctor also,btohqsg
https://m.youtube.com/watch?v=qNf9nzvnd1kReuploading a video will decrease the video and audio quality. Device may also not be able to produce high frequency sound. Do not increase volume if you cannot hear to protect your hearing,btohqsg
💰Rad Russel 55% off Promo💰🎉 📣 Rad Russel Singapore is having their 55% off Promo. Celebrate the weekend with our amazing sale.📅  16th May 2020 Onward📍Rad Russel Singapore Online🔗 / 📸https://bit.ly/3eZOaBV🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
💰City Chain Exclusive Online Deals💰🎉 📣 City Chain Singapore is having their Exclusive Online Deals. Enjoy Great deals Amazing discounts and many more.Ramadan Series Part 2Enjoy every golden moments with our best picks!📅  16th May 2020 Onward📍City Chain Singapore Online🔗 / 📸https://bit.ly/368fEB9🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
💰Running Lab Salomon Online Exclusive Sale💰🎉 📣 Running Lab Singapore is having their Salomon Online Exclusive Sale. Enjoy 50% OFF selected SALOMON products when you purchase directly from us  from now till 24 May.📅  14th May 2020 to 24th May 2020📍Running Lab on Facebook🔗 / 📸https://bit.ly/2LCjHfG🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
💰Rose Of Sharon 20% off Promo💰🎉 📣 Rose Of Sharon Singapore is having their 20% off Promo. Make an impression with this lightweight Dreamcatcher Chiffon blouse with a mandarin inspired collar📅  16th May 2020 Onward📍Rose Of Sharon Singapore Online🔗 / 📸https://bit.ly/3cIirDs🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
💰Pororo Park Toy Bundles Promotion💰🎉 📣 Pororo Park Singapore is having their Toy Bundles Promotion. Check out the awesome toy bundle deals that would not only capture the heart of your little one  but also effectively guide them to a fun-filled time at home!📅  8th May 2020 Onward📍Pororo Park Online Store🔗 / 📸https://bit.ly/2AEfdCY🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
Burger King: E-Coupons🔹 Until 30 Jun🔹 Flash E-coupon to redeem📍 All outlets except Changi Airport & Kallang Leisure ParkMore info:bit.ly/2WE7QE7🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
A-One Claypot House: 50% off storewide 🍛🔹 Until 1 Jun🔹 Takeaways only📍 Hillion Mall #01-11/12More info:bit.ly/3cC10EA🇸🇬 Your Best Choice!!👉@SGcheapo😉💌 Forward to share the love❣,btohqsg
