text,group
Group just created moments ago  got to hang on abit till group gets bigger. We using our sister's group to push this up,btohqsg
hey ... hw ya doin. What car u driving,btohqsg
you from the GTR group? 😳😳,btohqsg
Ur dp literally gtr tail bro...,btohqsg
cause you quite actuve in the motorist gtr group hahaha,btohqsg
haiya!! I forgotten abt dat .. dat pic don't belong to me🙈,btohqsg
aaah...ya. it's my dream to drive one  so I juz wanna hang ard wit the big boys ... dats all.😁,btohqsg
then what do u ride? :3,btohqsg
Dont need to humble la :3,btohqsg
so Hayleey  u got our contacts thru  motorist?,btohqsg
i just shared the link into the motorist,btohqsg
if can do help share to ur friends too,btohqsg
i wanna talk to more car peepo :>,btohqsg
so in case next time my car brks down on the road,btohqsg
i have a group of yall to back me up,btohqsg
do help share to your friends and make this group grow oh!!,btohqsg
She’s admin so must be active right,btohqsg
i bet yall go rounding and stuffs ah,btohqsg
wah that light is gtr? hihi!,btohqsg
doesn't matter wat car ... we all car enthusiasts,btohqsg
later cannot see yall the tail lights ma,btohqsg
or is it the other way round...,btohqsg
I used to drive a hyundai elantra,btohqsg
Think under the law is confiscate for illegal races of not wrong,btohqsg
No la  unless illegal modification to engine etc. Racing fine + points only,btohqsg
these kind is nt really official racing  it's juz between frens,btohqsg
i would wanna drive a proton,btohqsg
myvi vroom vroom yi lu lup jin ni xin li HAHAHA,btohqsg
it popular coz got lot mod options... sg cant lah,btohqsg
can sit inside feel ur vtec anot,btohqsg
Anyway guys  where do u all normally like gather?,btohqsg
I don't think any of the people here know each other,btohqsg
u suggest a place we gather? 😏,btohqsg
Yall dont know each other? I tot like maybe alr got 1 small group here tryna expand,btohqsg
Nope bro  just a sub group opening. Realised there is no general group out here on tele to help those new drivers when they need advice or a general discussion group,btohqsg
i realise only civics people no group de sia :(,btohqsg
Civic got group  they got group sticker also,btohqsg
Civic should be very big committee one leh,btohqsg
Their sticker similar to kia koup group sticker one,btohqsg
cause i exited then i cant find the group liao,btohqsg
I can tell  if you need to ask if there's any group,btohqsg
Like that must meet middle liao,btohqsg
See when free  come out la kopi,btohqsg
waooo nice n fast car... 😍,btohqsg
But mechatronic up lorry fast also,btohqsg
old or new is always great to own a bimmer,btohqsg
those fd people  can yall like pm me the civic group.,btohqsg
sorry I'm in the fd grp chat  although I'm driving one,btohqsg
Wanted to buy but too high dep.,btohqsg
original fake  wat car u driving,btohqsg
I lousier car  that's why no mention,btohqsg
Nice meeting you guys here 😆,btohqsg
Looks nice  can't really run lo,btohqsg
Wooo not bad. Quite fast also,btohqsg
Aiyo  any cars in sg is consider a good car liao. No lousy cars lah.,btohqsg
If done up correctly  also quite sick,btohqsg
yea i hear ur complains   u gg to change car le right? 😏😂,btohqsg
I used to be a car dealer alot years back,btohqsg
Recently I just done up my coolant problems,btohqsg
brother  all cars nw the dep is crazy,btohqsg
I wanna sell my audi a3 liao,btohqsg
Waiting any bro or sis to fetch me go work,btohqsg
I now sell like good price LOL,btohqsg
Any grab driver around? He needs it daily,btohqsg
join me in my civic journey,btohqsg
Fd civic or fit / jazz / Suzuki,btohqsg
Civic is a fine car  but alot black sheep spoil the name,btohqsg
Any bros or sis using it here?,btohqsg
the admin shld do it first lor,btohqsg
i the admin so i say le suan,btohqsg
LET ME HAVE SOME CAR PORN,btohqsg
Just got it repainted before cny,btohqsg
my taoeh the car so chio,btohqsg
Yours is your engine chio now,btohqsg
I thinking of changing to fd 😆,btohqsg
At Sgcarmart never see before 🤭,btohqsg
I plan to drive to Thailand once border open 😂,btohqsg
My scirocco I know confirm cannot haha .///,btohqsg
dats gonna be a gd one,btohqsg
I like the new fit design nw,btohqsg
Civic and fit don’t have power steering uh?,btohqsg
Last time my car repair I try drive Mazda 2 😅 the steering wheel I find it weird,btohqsg
Hi guys  would deeply appreciate if all of you could spread this group to all the car groups you're in,btohqsg
only 4 of us gd morning ah,btohqsg
the rest all ... kun ah,btohqsg
Does anyone think that owning a classic car still worth in sg?,btohqsg
Putting in consideration that fella brought AE86 AT 100K+ and reselling over double the price brought. I would say yes 🤣,btohqsg
100k + or 200k+ can't rmb,btohqsg
Cus I saw a listing on Carousell,btohqsg
Got someone selling a Toyota Corolla wagon,btohqsg
I guess it really depends how you're into classics. Can't really put a price tag on it. I might be wrong  but I recall seeing 1 classic sold off at 750k. I might see wrong. Quite sometime ago,btohqsg
Car itself isn't a good investment ba. Let alone classic,btohqsg
One of the few gtt I saw during my car spotting,btohqsg
Skyline.. so much better than nismo,btohqsg
I'm singapore  they don't really take gd care of the cars  especially those classic  for example like dis gtt,btohqsg
No choice. Their maintenance fking chor,btohqsg
2 yrs back I almost bought 1  the condition of the interior is very bad ...,btohqsg
hw can 1 be buying but don't wanna do on the maintenance,btohqsg
But got some really maintain it damn well   but listed high price,btohqsg
I have seen people that can afford buying ferrari/lambo and couldn't afford maintenance bro,btohqsg
hw is dat h can afford buying but u can't afford to maintain,btohqsg
Buy already  for some reason. You go broke lo,btohqsg
I think dat equals to  can't afford,btohqsg
Think some is because of business or 面子问题,btohqsg
Are u the blue black skyline gt last Friday at Mount Faber?,btohqsg
u guys saw dat  driving a gtr wit 4k fines,btohqsg
of course. comes wit a price and some comes wit ridiculous price,btohqsg
A lot car enthusiast favourite place,btohqsg
Night time is where all the classic and modern car,btohqsg
Got to becareful. Heard MFP 99ban up they have camera hidden  any car looking illegal or speeding up will trigger tp nearby to go up,btohqsg
are you the tiktok girl that drove a matte pink Audi?,btohqsg
Cus got a tiktok person promote this gr,btohqsg
I don't think I am a girl  or driving matte pink car,btohqsg
Well  people saw a group that has potential and start advertising I supposed,btohqsg
Any one know where can I purchase the Defi Analogue/Digital Gauge that doesn’t get data from ECU?,btohqsg
Or any other Brand’s I’m fine with,btohqsg
Rhd Japan has authentic sets. But extremely pricey. On carousell you can find ppl selling OEMs for defi gauges,btohqsg
i looking for it too.. i wan 52mm meter gauge but now market mostly is 60,btohqsg
I’m ok with any size as long don’t block my view hahahaha,btohqsg
try fongkim D1 spec meter gauge,btohqsg
Any one driving cl7 here? 😊,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
today nt even a word frm Hayley,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
and u forgot to change Haylee face also,btohqsg
All along is a korean photo,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
*CERTIFIED VENDORS*🔸️ Seller listed below are verified by admins ofSG FREEMARKET&SG-OCPG&SG CAR DISCUSSIONlisted under Buyer Protection Insurance. Buy/Game with confident with the companies below!* ♠️Online Casinos / Slots♠️ *✅️ MZBET88https://telegra.ph/MZBET88-02-28✅️ XTCBEThttps://telegra.ph/XTCBET-03-02Sellers / Companies that wishes to be listed? PM admin@odcssnow. Limited slots available*,btohqsg
wats is dis grp chat for ah,btohqsg
but u guys are promoting something else,btohqsg
stated there  Advertiser pls refrain frm spamming advertisement in the grp  but the admin himself is doin it,btohqsg
Maybe can ask rose panggang for awhile. If not everyone join all spam by rose hahahaha.,btohqsg
You take over her and welcome everybody also can,btohqsg
Okay we do the job lai@blessedchildx,btohqsg
Must have people join first then I come manually hello hahahah,btohqsg
Cos she might be this rosie,btohqsg
Fuck  I literally had an image with that Rosie bot with her voice,btohqsg
Both hv the same hair oso hahaha,btohqsg
Fd2 I think have. Fd2r I don't think so,btohqsg
Maybe i shd leave and rejoin den can get a hi,btohqsg
Check with you guys anyone using bc coilovers,btohqsg
Not using but alot people says the same thing,btohqsg
Driver drive   shiok. Passengers sit sure make noise,btohqsg
All the reviews I gotten from friends  was intending to change,btohqsg
But from the reviews I decided not to lo,btohqsg
Cos my car only compatible is bc,btohqsg
Those unknown what like border also compatible,btohqsg
Check le not compatible   friend drives dc5 use d2 also quite harsh,btohqsg
Personal preference ah. D2 my friend say until he wet,btohqsg
But i heard also depends on installer change the damping,btohqsg
Anyway how ur know who to add   that owns a car,btohqsg
That's why growth will be much slower,btohqsg
Well u got right target audience,btohqsg
Idk I don't use motorist app,btohqsg
Was surprised to see they have gc,btohqsg
Only get to know like 2 days back,btohqsg
They classify based on car u own,btohqsg
Intention is to have a group  example midnight someone car died. Come here comment  towtruck people start asking where you,btohqsg
Anything wrong with car  someone here able to give and assist with immediate answers,btohqsg
Using bc br... Previous car bc v1. So far ok for me. No real complains,btohqsg
Waiting for u add ur frenz in or promote in ur car group,btohqsg
My car they complain car too loud rather then uncomfortable 😂,btohqsg
But so far no one ever mentioned about comfort,btohqsg
The bc br for me feels better,btohqsg
Ya for drivers no complains from my end too,btohqsg
The v1 last time I used on 09 cerato when new  damn hard. Took about 2 months before it became softer,btohqsg
U all early morning talk abt vroom vroom alr,btohqsg
The br came with my current car. So already seasoned.,btohqsg
But when it was hard  the car felt faster for some reason. Just that those small humps damn rough.,btohqsg
Mine that time  after a week I had to go back workshop tighten the coilovers. So if you hear vibration  is the spring start to season then it become loose. Need to go workshop tighten.,btohqsg
Also my bump stopper had to remove.,btohqsg
Got ppl mention bc v1 less harsh,btohqsg
The others say v1 will oil leak,btohqsg
I think car weight also play a part,btohqsg
V1 I used less then a year  then sold,btohqsg
Similar someone also had isses with v1 being squeaky,btohqsg
But think ur advise was good,btohqsg
Yeah... I feel I got a bit more dampening on the br. But I think is because the accord is much heavier then the cerato,btohqsg
the car can’t even start up,btohqsg
Have quite a few in sg. In this group got one more,btohqsg
Not all is euro R variant,btohqsg
The new accords 1.5 turbo no idea why no 2 litre,btohqsg
For bcbr on Cerato 19  you need time for it to season.. but once it sits you don’t look back..,btohqsg
I’m driving Cerato 19 too ✌🏼,btohqsg
Another nice guy think got workshop,btohqsg
any workshop sell meter gauge? can recommend?,btohqsg
Thought me is no friend club,btohqsg
I pm you think u don’t wanna friend me 🤣🤣,btohqsg
So far hows ur feel of driving cerato?,btohqsg
Comfort space and performance if all is done right. But if you’re looking to up against FD can wait long long hahahaha,btohqsg
This one got super large following in sg,btohqsg
This version of civic is everywhere in sg,btohqsg
Ek4 only got a few jn sg,btohqsg
Don’t forget the rarest car in sg,btohqsg
Sg only got 1 I think,btohqsg
At least better than the guy selling 388knfor ae86,btohqsg
Not sure it is still a daily driven car now,btohqsg
Agree is super rare but the price is fuyoh,btohqsg
Try luck no harm la  maybe really got idiot pay him that price,btohqsg
Rx7 FD all also ridiculous price when I searched previously,btohqsg
I think I met this owner the other day,btohqsg
Now all asking ridiculous prices. 388  488.,btohqsg
If I got car that can sell for hdb  I sure try 😂,btohqsg
Can i poison u with mods 🤣🤣🤣,btohqsg
Now if you can take public transport for next few years  sell better,btohqsg
Drop price? I tot shell 95 was 2.98,btohqsg
Must pump see what price today,btohqsg
everytime i pump it goes higher,btohqsg
Morning i pump spc 95... Its 2.81,btohqsg
Yesterday i pump was at 2.75,btohqsg
Got quite a few on the road 😂,btohqsg
Wanted consider rex but le wife didnt agree,btohqsg
Let her feel the G-force upon acceleration!,btohqsg
the guy i bought from  it was the wife driving the euro r,btohqsg
Rex back seats must be comfy enuff,btohqsg
Else get kicked out hs can sleep in backseat,btohqsg
Used to own the 2003 rex  not too comfortable to sleep  abit clamp.😅,btohqsg
U wait rainy season everyday each trip $40,btohqsg
They will revise the road tax soon,btohqsg
Still crazy. Almost 2.5k after revised,btohqsg
cheaper then like a 370z road tax,btohqsg
I ytd pump the petrol play gangster somemore LOL,btohqsg
Sorry i just wake up LOL 3/3,btohqsg
Horrigible sia even now 95 price almost like 98,btohqsg
Like that next pump I can forget caltex already.,btohqsg
Where they spike the price anytime,btohqsg
Is Kia cerato forte good? A lot people said online Kia car unreliable,btohqsg
Just asking those that currently or prev driven a Kia vehicle,btohqsg
Cus my dad prev cerato keep breaking down,btohqsg
Previously drove 1 for 2 years,btohqsg
thanks for the warm welcome! 😉,btohqsg
Probably cus my dad bought a high mileage car and maybe prev owner never maintain it prob,btohqsg
I was driving 200k mileage cerato previously,btohqsg
generally it’s a good and reliable car  all cars will have issues as different owners have different maintenance and servicing routine,btohqsg
driving a forte koup myself haha  no issues for me,btohqsg
Issue with forte mainly is ecu ba,btohqsg
My previous cerato quite ok... 09 Manual one. At first keep going left  change to coil overs then can go straight. Also ignition coil died once. But that's about it.,btohqsg
ECU I did the preventive maintenance thing at harmony. But now when I think Abt it  expensive to do that,btohqsg
Ya. Generally cerato family is fine,btohqsg
Drove once. But it did gave me some nightmares,btohqsg
oh my god haha so accurate… first try bad experience 😂,btohqsg
i haven’t ecu tuned yet but so far still ok,btohqsg
might do it next time though,btohqsg
On how many months or year basic?,btohqsg
And isn’t ecu tuning create a permanent damage on the ecu board?,btohqsg
The car was Abt 11 years old. Then when at harmony motors kena psycho to do. First car so a bit suaku,btohqsg
But learn much much more after go to JDM.,btohqsg
So how yall spending your Friday nights,btohqsg
Thank you for your contribution 😁,btohqsg
Hahaha no la no need say until liddat,btohqsg
Can help how much jiu help how much lo,btohqsg
I been volunteering at this place called mummy yummy for a long time alrdy,btohqsg
Legit run the ground to check on the less fortunate,btohqsg
I see a very clean rx8 opp me,btohqsg
If yall interested can join me oso,btohqsg
My neighbours all have nice cars omg,btohqsg
Anybody is welcome to join me man,btohqsg
Last week go for meet  all r34  s2k,btohqsg
I back track until own laoba car?!! Hahahaha,btohqsg
This at geylang my family coffeeshop there lel,btohqsg
Which one... I also stay Geylang area,btohqsg
But near me...  I beside the mrt,btohqsg
Hahaa dont liddat leh our vegan food buey pai one can try,btohqsg
But mala fish maybe... Mala western fish really don't know what is that,btohqsg
Its not juz one dish bro,btohqsg
Next time I come see see,btohqsg
