text,group
If i go amk i buy,btohqsg
I cannot afford to open in west,btohqsg
I cannot afford to pay u,btohqsg
Not mainly to supp u but mainly cos iw hotwheel but cant find in kiddy palace liao,btohqsg
AHAHHAHAHAAH give me kisses can alr uwu,btohqsg
Now in machime is all old stuff,btohqsg
ok i need go help my mothewr brb,btohqsg
yeah i might go during holis tbh,btohqsg
I cannot source more 90s amd 2000s hot wheels,btohqsg
Whati have is what i have,btohqsg
I’ll go down next wk I think,btohqsg
Let me know when u there,btohqsg
I wanna know what u buy,btohqsg
No coser jio shoot  means im not itasha,btohqsg
U also not very prominent in coscomm,btohqsg
U wan shinobu cosplayer shoot with ur car,btohqsg
Oh u in cos comm oso ah,btohqsg
Omg u used to cos ah,btohqsg
I used to be q deep in it ah cos my cosplayer friend will alws drag me to events  then I boothed with her at some event oso,btohqsg
I rmb one of the car guys who into anime came to the event. Think it was the nekonezy guy.@chloetherx8came also but I didn’t say hi to him I think,btohqsg
How old r u now if udm sharing,btohqsg
As long as the heart is young,btohqsg
Do u still go to cons,btohqsg
Last yrs one not very happening,btohqsg
All the new stuff is quite meh,btohqsg
Old era stuff was much better,btohqsg
Last yr afa was half doujin,btohqsg
Applies to everything not just cos,btohqsg
this one the driver also young da,btohqsg
✨TeamSCD Broadcasts✨Official SCD Car Dealership✨https://telegra.ph/Instincts-Motoring-04-02______________________Check light issues? Find out here!✨https://telegra.ph/Checklights-05-08______________________Lowered & unsure which CP isn’t safe?✨https://telegra.ph/CarparkSG-05-08______________________For advertising/updates of CP enquiries  pm@ODCSS,btohqsg
https://youtu.be/FK0InAnYywoWho is right and who is wrong? 🤔,btohqsg
Bmw wrong first but camcar ego problem also,btohqsg
Sad nv win the fujiwara tofu photo contest :(,btohqsg
I stay my lane he lane change bang untill me free money 😁,btohqsg
Don’t say I teach u leh..,btohqsg
Check out 'PRO-JEX V2D 6IN1 SERVICE PACKAGE'  available at S$320 on#Carousell:https://carousell.app.link/G20GrbqvfAb,btohqsg
@ToufuTigerI sad never see your car in the photo,btohqsg
hahaha..me still saving up for this amazing offer😂,btohqsg
I thought you stick so big they sponsor you,btohqsg
They solved my suspension setting today😂,btohqsg
Brotherhood is priceless sir Gerard 😂😂😂,btohqsg
When wan to swing by for a visit?😛,btohqsg
I always swing by but one floor up,btohqsg
The black and white color very matching.,btohqsg
Hey hey do yall know if Mini Cooper SG has a telegram chat?:),btohqsg
You type mini Cooper should hve,btohqsg
See ur name cfm thai lah,btohqsg
See yall there on 31st june,btohqsg
Only man n gay go to this beach de..what yiu doing there,btohqsg
Anyone have experience with COE renewed car?,btohqsg
You wanna be the next mayidou,btohqsg
3.6 feels heavy.Good handling but air con is weak,btohqsg
U jio we open a meet for u one,btohqsg
That’s part of the consideration too,btohqsg
U busy man  must see u when free,btohqsg
Only thing about Panamera is the beautiful looks only ba,btohqsg
Make it worth. Get a 4.8 hehe,btohqsg
Doesn’t change the fact it’s too heavy already also,btohqsg
The road tax  a lot better car to choose alresdy,btohqsg
You funny ah. U vote no but u ask me get,btohqsg
So u can notice me senpai,btohqsg
Not sure if it’s a good investment. May want to get one for daily use  but not sure how reliable it is.,btohqsg
If you’re looking at normal daily cars like altis etc  it’s good,btohqsg
Yeah nothing too flashy also  scared it breaks down or have mech prob  but Ik that one is wear n tear ah,btohqsg
I used to drive kdm/Jdm coe car,btohqsg
I can drive 2-3 years no issues,btohqsg
Altis I never seen any big issues coming from my friends,btohqsg
See how the COE direction heads,btohqsg
Yeah count in road tax all that,btohqsg
I wanted to rent but P plate say cnnt,btohqsg
But I’m pretty sure Altis/cerato all these isn’t gonna give u too much issue,btohqsg
I know somewhere that allows p plate rental with no deposit,btohqsg
Actually no problem de la. In the video must be some racist ass Chinese provoke or look down Malay riders on the road and taunt them then kena.,btohqsg
The sharer also cb@huanlolanlan🤣🤣🤣 later they all take plane fly kl instead alr,btohqsg
I wonder how vesak day being celebrated,btohqsg
Usually just go Buddhist temple   pray and that’s all.,btohqsg
hi if have cert for exhaust but havent change name will they still summon me or can appeal,btohqsg
IT is tagged to your car.. as long as you show a paper trail if your car plate no changed it should be fine,btohqsg
Go change name lo. But at a cost of I'm not wrong??,btohqsg
They can  if they want to,btohqsg
i kena escort midnight to sta,btohqsg
U either suey or they don’t like u,btohqsg
Alot place lta checking even PIE also saw them standby,btohqsg
Saw this audi near my blk,btohqsg
Got English bo?I never go school,btohqsg
That one headman come down gan his gina arh?,btohqsg
nice but idl the face artstyle not my type,btohqsg
Yes it is. But i'm asking for a friend hahaha,btohqsg
You go make friend and sit inside,btohqsg
