text,group
i saw also  trying to find something abit cheaper.1.5 turbo abit too much for m ehaha,btohqsg
my vezel 5year + millage 48k only LOL,btohqsg
wa cannot  the only reason why i consider 1.0 is because is hatchback hahah,btohqsg
Then the FK got 1.6 na?,btohqsg
Hatchback den fk8If not wrx hutch is fun as well,btohqsg
Saw one impreza 2.0 S gt,btohqsg
Downside of wrx is the fc is high n so is the insurance,btohqsg
Back den when I owning a wrx my insurance premium was ard 4k,btohqsg
Bo lui to change nice nice car,btohqsg
That one under sports car category alr what  no meh?,btohqsg
Your Euro R is better one out there in the market,btohqsg
Your uncle accord also nice nice car,btohqsg
Back den 20 years agoWrx GC model is the talk of the town…,btohqsg
Hahah if I get the 2.0 S-gt cfm hatchback category,btohqsg
Just an old Accord only la,btohqsg
Yeah bro..that is a hot chick car,btohqsg
Especially the 2 door one .. that one sparks level 8 park there . U go alone  but go home with 3 more girls .. lol,btohqsg
So far only got one promoter trying to sell something. Then I go to the car she say wha nice car...,btohqsg
The rest is sadly guys that say nice car,btohqsg
Hahaha good enough le..Mine no one ever say nice car to me,btohqsg
Only I say nice car to others,btohqsg
Wah thanks bro..you don't even yry see my car you say nice liao..Iam flatter hee,btohqsg
1.3k ppl here only 1 auntie actually sat inside,btohqsg
Some more this aunty very trendy one.@HelloAhSoh,btohqsg
@akimiJWthe only auntie that sat inside,btohqsg
Actually we have many matured ladies in this group yo.,btohqsg
Sit one time she sian already,btohqsg
He never step hard enough den,btohqsg
I just say one sentence then he dun dare suggest I sit anymore,btohqsg
Even the best lok lok in singapore also cannot lure him to lemme sit ever again,btohqsg
I did the same ..I say let me drive..he straight pass me car key hehe,btohqsg
He don't let ppl anyhow drive his car de la,btohqsg
Some more you tell me how you buang all your bumper,btohqsg
Even go see fn2r they don't want you to drive haha,btohqsg
Fastback... but that GT wing really bky,btohqsg
Hi all! I have van & 10Ft lorry for sale. Anybody interested can pm me.,btohqsg
Wtf why suddenly so many ppl,btohqsg
Which school which class playing pranks?,btohqsg
But funny thing is  they join and our group members not increasing,btohqsg
Nvm  I put group as private for now,btohqsg
Huh..no leh bro..not I invite de also,btohqsg
Desmond one shot invite nearly 100 people. Effort sia,btohqsg
HahahaNo choice I too many followers,btohqsg
High chance bot  like how Trojan horse attack,btohqsg
isit someone give the wrong telegram link then all press without thinking LOL,btohqsg
Cnt be all same timing bro,btohqsg
Telegram added me to many online betting or trading thing also sometimes,btohqsg
So have to delete 1 by 1Quite irritating,btohqsg
So I think it doing the same to all this user ba,btohqsg
They didn’t add me. They know I’m broke,btohqsg
