text,group
Group just created moments ago  got to hang on abit till group gets bigger. We using our sister's group to push this up,btohqsg
hey ... hw ya doin. What car u driving,btohqsg
you from the GTR group? 😳😳,btohqsg
Ur dp literally gtr tail bro...,btohqsg
cause you quite actuve in the motorist gtr group hahaha,btohqsg
haiya!! I forgotten abt dat .. dat pic don't belong to me🙈,btohqsg
aaah...ya. it's my dream to drive one  so I juz wanna hang ard wit the big boys ... dats all.😁,btohqsg
then what do u ride? :3,btohqsg
Dont need to humble la :3,btohqsg
so Hayleey  u got our contacts thru  motorist?,btohqsg
i just shared the link into the motorist,btohqsg
if can do help share to ur friends too,btohqsg
i wanna talk to more car peepo :>,btohqsg
so in case next time my car brks down on the road,btohqsg
i have a group of yall to back me up,btohqsg
do help share to your friends and make this group grow oh!!,btohqsg
She’s admin so must be active right,btohqsg
i bet yall go rounding and stuffs ah,btohqsg
wah that light is gtr? hihi!,btohqsg
doesn't matter wat car ... we all car enthusiasts,btohqsg
later cannot see yall the tail lights ma,btohqsg
or is it the other way round...,btohqsg
I used to drive a hyundai elantra,btohqsg
Think under the law is confiscate for illegal races of not wrong,btohqsg
No la  unless illegal modification to engine etc. Racing fine + points only,btohqsg
these kind is nt really official racing  it's juz between frens,btohqsg
i would wanna drive a proton,btohqsg
myvi vroom vroom yi lu lup jin ni xin li HAHAHA,btohqsg
it popular coz got lot mod options... sg cant lah,btohqsg
can sit inside feel ur vtec anot,btohqsg
Anyway guys  where do u all normally like gather?,btohqsg
I don't think any of the people here know each other,btohqsg
u suggest a place we gather? 😏,btohqsg
Yall dont know each other? I tot like maybe alr got 1 small group here tryna expand,btohqsg
Nope bro  just a sub group opening. Realised there is no general group out here on tele to help those new drivers when they need advice or a general discussion group,btohqsg
i realise only civics people no group de sia :(,btohqsg
Civic got group  they got group sticker also,btohqsg
Civic should be very big committee one leh,btohqsg
Their sticker similar to kia koup group sticker one,btohqsg
cause i exited then i cant find the group liao,btohqsg
I can tell  if you need to ask if there's any group,btohqsg
Like that must meet middle liao,btohqsg
See when free  come out la kopi,btohqsg
waooo nice n fast car... 😍,btohqsg
But mechatronic up lorry fast also,btohqsg
old or new is always great to own a bimmer,btohqsg
those fd people  can yall like pm me the civic group.,btohqsg
sorry I'm in the fd grp chat  although I'm driving one,btohqsg
Wanted to buy but too high dep.,btohqsg
original fake  wat car u driving,btohqsg
