text,group
is HLE a need to apply now? or only after ballot?,btohqsg
Yes. Problem arise when no children or cannot buy over ex spouse share because of financial reason,btohqsg
I think if you are applying for a new bto. Then you need to have a hfe to apply. No more hle form ( this is valid a few year back..now it's just HFE from),btohqsg
I see! Ok means HDB will inform us to apply for a updated HLE before we get the keys. Oh man..will take note to make sure same number,btohqsg
I used my hfe to apply sbf,btohqsg
Then no need hle already. Nowadays it is just HFE. No more hle,btohqsg
Normally w children  divorced one party will takeover and stay w children that's why either one of the parents must be able to finance the house.,btohqsg
For example my cpf and loan alone can support my 4rm BTO already  i no need my wife cpf . Then if i become divorce then i can retain my HDB with my sons if my wife give permission over to hdb that i can use my sons name to this BTO.Of course vice versa,btohqsg
How about ur wife? Can she support to buy over ur share alone?,btohqsg
Hi  I actually wrote in to HDB to check but they replied saying that we are ineligible as it requires both of us to have graduated within 12 months.Maybe is denial but I’ve seen people online in similar situations appeal for DIA during signing of lease. Does anyone have any similar experience recently or have they clamped down on this.,btohqsg
normally how long hdb reply to you? I wrote in almost 2 weeks back still no response,btohqsg
It was v fast  response within a day or two,btohqsg
But maybe my question also v clear cut  asking about my eligibility for DIA,btohqsg
submitted recently or long time back?,btohqsg
Can be done if either party can support to buy over,btohqsg
Yes. Coz normally wife wants the child custody,btohqsg
If husband can give permission then good,btohqsg
Hahaha only if your wife ok  if she is not okGo to court case  usually kids and house will go to mum 🤣,btohqsg
You are just waiting for key collection right that applied years back (HLE),btohqsg
Yes must end in good terms ma,btohqsg
Then the loan amount all those will be same as stated in HLE ah,btohqsg
Unless you have major pay raise or valid reason for reassessment,btohqsg
But that was years ago. So HDB assume we still have similar income? Lol no need to worry we cannot pay off?,btohqsg
This is part I thought its vague. 😂,btohqsg
Can your downpayment plus loan amount cover the unit price? If yes they likely won’t ask you to submit present income docs. If no  they will ask for it and reassess your loan quantum.,btohqsg
But wouldnt be surprise if they don't reassess  because you are supposed to exercise prudency when choosing an estate  to only choose within means.,btohqsg
I guess that’s true as well…,btohqsg
Any shortfall must pay in cash.,btohqsg
I guess so too. If no need to do HLE..also save some fuss. No need submit stuff etc again 😂,btohqsg
Result out since last year Dec.,btohqsg
Your balloting results and other people balloting results different meh,btohqsg
hi  anyone can recommend an affordable digital lock? current 11yr old Yale lock is dying.. want an affordable one to use for few years before moving,btohqsg
Hello anyone bought private property before and then wanna buy hdb  is there any chance to not do the waiting period,btohqsg
You can try appealing to HDB.,btohqsg
Will drag until next launch meh?,btohqsg
I think around 2 months after launch will have results. So Feb results will be out in April / May. So those that didn’t get Q number or Q outside supply can apply HFE in time for the next launch.Next launch is July.,btohqsg
They probably missed the results date then blurblur until now,btohqsg
Even if they didn’t get queue number HDB will inform them  so they probably missed or something,btohqsg
u need to appeal very hard and high chance hdb wouldn’t care,btohqsg
If you are aged 55 and above  you no need to wait out 15 months to buy resale HDB,btohqsg
If not  unless it is due to financial difficulties(even sell condo also can’t cover kind)  very slim chance HDB will approve your appeal.,btohqsg
Yea seems no way around it,btohqsg
Cos actually is my parents bought under my name last time,btohqsg
So not really my house and I don't get proceeds,btohqsg
...then why you let them put under your name?,btohqsg
You got absolutely nothing to gain + now waste your time,btohqsg
Then you stay there cannot meh? Since it’s technically your house,btohqsg
Sold cos don't want the mortgage,btohqsg
hello  bros  may I ask the price for prime BTO. Is if after the subsidy or before the 9% subsidy. Thank you!,btohqsg
I think the list prices usually show before any subsidies  if there are subsidies they'll be stated,btohqsg
Feb ballot results will be announced in April according to HDB,btohqsg
The price you see is the price after subsidised.After this  one more discount is grant.,btohqsg
Get such people meh? Never got email or sms?,btohqsg
If like this 1 year also might also still be blurblur,btohqsg
can take a look at homesmart sg or interlock sg websites  digital lock section  see what fits your budget.,btohqsg
Will always have people like that,btohqsg
Found one on FB but seems to be inactive:https://www.facebook.com/share/1AJVZPvjeY/?mibextid=wwXIfr,btohqsg
Hi anyone got garden bloom tengah group link?,btohqsg
Hi.. is there a chat group for Stirling Horizon?,btohqsg
Is there a group for tengah waterfront?,btohqsg
Hi  any group chat for Bartley Beacon?,btohqsg
Hi   i am selling digital locks and looking to create groupbuys for new BTO owners   do let me know if you guys are keen?,btohqsg
Hi i have one group chat for Bartley   looking to create groupbuys  are u keen to join? :),btohqsg
Hi   i am selling digital locks and looking to create groupbuys for new BTO owners   do let me know if you guys are keen?Not sure if i am able to post my services here?,btohqsg
Hi! I'm providing post renovation looking to create groupbuy for new BTO owners  would anyone be keen?,btohqsg
Hi  may I know if anyone knows if there is a link/ group on updates on the BTO project on West Hill @ Bukit Batok?,btohqsg
according to HDB   Urban Ville woodlands completion is 2nd quarter 2026 . can i assume it will be delayed to 3Q at least or unlikely,btohqsg
Shall be ok as this may benefit group members!,btohqsg
Strange  did some chat messages get deleted or am I hallucinating that someone asked about giving up their flat here,btohqsg
yes somebody asked about surrendering flat,btohqsg
Apply for HFE to check your loan  grant and housing typ eligibility. Need to provide the sale statement for any sold private property if you're applying for a HDB subsidised loan.,btohqsg
Scam is a good Business  the government say even better than drug.,btohqsg
Hi does anyone here knows when can collect Tengah Gdn Waterfront 1  keys collection dates? Suppose to be in 1st quarter 2027  don't knw if HDB gv keys earlier or nt.,btohqsg
I think very likely most probably 1st quarter 2027,btohqsg
Haven build finish how to even know when can collect,btohqsg
Do not PM or give any personal particular to anyone in this channelPlease report suspicious person to admin.,btohqsg
Hi  Check out '2 seater Sofa'  available at S$120 on#Carousell:https://carousell.app.link/gVknwtzwlRbIkea selling at $999.https://www.ikea.com/sg/en/p/landskrona-2-seat-sofa-grann-bomstad-golden-brown-wood-s79270268/,btohqsg
Hi I have a question regarding the hfe letter applicationMy partner has worked for 12 months and could indicate and upload her documents / payslips in the hfe applicationIve only worked for 9 months during 2024  so I indicated 0$ for my salary from jan to marchHowever in the hfe application  its still asking me to provide documents for jan to marchPls help🙇‍♂,btohqsg
just provide them your previous payslips and cpf contributions...,btohqsg
Hello everyone  anyone here have tried or heard about the original BTO porcelain floor tiles? Any views on it? Is it slippery?,btohqsg
Its okay  not slippery  homogenous tiles  can do marble gum,btohqsg
Does marble gum helps to prevent it? I know it will help aesthetically,btohqsg
Is Marble gum meant to seal the grove lines?,btohqsg
Yeap  level the grout line with the tiles,btohqsg
This is a 4yrs old bto flat. Looks like the groove lines turn dark,btohqsg
i see.. thanks.. the groove lines was light when i visited 4years ago,btohqsg
if opt for the tiles for living room and corridoor have to also take vinyl for bedrooms?,btohqsg
Nope! Marble gum for aesthetics and to prevent black grout lines,btohqsg
yea it only helps in the groove lines aesthetically only ya..,btohqsg
wanna know the touch and feel and feedback for keeping these porcelain tiles hahaha worried it might be slippery,btohqsg
i guess it might be slippery,btohqsg
how much does marble gum cost? how long is it expected to last?,btohqsg
So far my baby walk on it  no slip and fall due to the tiles,btohqsg
Should be about $1.4 to $1.8KCan last quite long as long no crack in tiles (need to replace whole house tiles if that happens) just need to polish after maybe 10 years for good shine,btohqsg
Woodgrove accent BTO estimate complete 1 sept 2025Outlook almost completed any update new for key collectionI am not a applicant can not log in my HDBpage to check the update status,btohqsg
why not u ask the applicant to login?,btohqsg
I am the resident around that area just hoping faster final completionoready suffering for few years 😂,btohqsg
Hi allAnyone has a list of units for Canberra Vista SBF which was recently announced?,btohqsg
Anyone need direct factory gates  fully customisable can look for me,btohqsg
If anyone is keen to get digital door locks do let me know  I can create a groupbuy so that all can have better deals 😊,btohqsg
Hi   i am doing defect inspection and looking to create groupbuys for new BTO owners   do let me know if you guys are keen?Not sure if i am able to post my services here?,btohqsg
Anyone need to change windows. Grilles. Shower screen  doors. Can let me know,btohqsg
Hi  anyone know original telegram chatgroup for Sembawang bto Sun Sails? Thank you.,btohqsg
You mean the group chat that can be easily found by searching this channel?,btohqsg
Anyone who want to join Sembawang Sun Sails Group :https://t.me/+7j6orL4UeC1mZDdlHere u go! :),btohqsg
Anyone need direct factory gates  windows  grilles or shower screen can look for me,btohqsg
If seller didn’t submit the endorsed documents  in the final stage after getting the completion date on time & the application cancelled  anyone know what will happen?,btohqsg
Write into HDB to ask ba,btohqsg
Then it won't be exercised. Did you ask their agent? Either: They are stalling for time or they changed their minds.,btohqsg
It’s already at the last step  we already got the completion date from HDB also   after1.5 month from today.Waiting response from the agent now,btohqsg
I fully understand  yes. They can wait till the last day  it's not wrong. Or  they can change their minds (you can sue for this).,btohqsg
Did they tell you about extension? Or say they needed time? If yes  then they are stalling.,btohqsg
Yeah initially  but negotiated price without any extension So completion date should be handing over the keys.,btohqsg
I have experience to mgt this  PM me,btohqsg
Solved☺️  sellers submitted upon notifying the agent,btohqsg
Please count me in.I am selecting my unit on 7 March 2025,btohqsg
Hi. May I know how the ban works and also the grants.I got a unit from October BTO  now marriage is gg downwards. Most likely before the key collection my marriage will be gone. So I haven't go to HDB to pay the first payment. When does the ban starts ?,btohqsg
Since I haven't pay the first payment. Will I be eligible to get the grants if I apply new BTO as single or resale ?,btohqsg
Anyone knows how to join the Alexandra peaks BTO group for updates as I have already selected the flat?,btohqsg
Hi! For the October 2024 BTO  anyone knows when the booking of flats will be and when they will send the noti?,btohqsg
You mean the group chat that can be easily found by searching this channel?,btohqsg
You can check with your own BTO groups to see what numbers are currently selecting flats now,btohqsg
A few projects should be starting selection already. If you've balloted for it you would've received a notification on the period where selection started.,btohqsg
started alr?? i didnt receive any noti...are the notifications staggered according to queue number?,btohqsg
Like I said  best to check with your own projects for better clarification,btohqsg
you'll get your appointment notice only two weeks before  check with your BTO group if any to see the progress,btohqsg
Have you tried joining the public group and asking?https://t.me/BukitMerahBTOdec2023,btohqsg
You're way too nice my friend,btohqsg
Or am I the mean one ? Hehe,btohqsg
Hi anyone knows the group chat for feb25 Queenstown bto?,btohqsg
I think so far don’t have,btohqsg
Hello! Can I check if anyone know the group chat for Datoka One bto?,btohqsg
@dakotabtosis the open group for all BTOs under dakota. there is another one specific to dakota one  which verification is needed for - can fill up the form athttps://tinyurl.com/dakotaoneif keen,btohqsg
Hello! Can I check if anyone know the group chat for parkedge @ biddadari,btohqsg
Hi admins and members I am selling digital door locks .Pls do pm me if you are keen to find out more .If there is enough buyers I can create a groupbuy chat so that all can save more 😊😊,btohqsg
Hi admins and members I am selling digital door locks .Pls do pm me if you are keen to find out more .If there is enough buyers I can create a groupbuy chat so that all can save more 😊😊,btohqsg
Quite alot of blocks whole block no ppl stay in. Got a feeling might be for next year sbf at MacPherson blossom,btohqsg
macpherson blossom  but that’s a SERS project,btohqsg
no wonder  just like pine ville amk,btohqsg
Hi admins and members I am selling digital door locks .Pls do pm me if you are keen to find out more .If there is enough buyers I can create a groupbuy chat so that all can save more 😊😊,btohqsg
So does it mean wont flow to sbf?,btohqsg
it definitely will.. just like any other SERS proj.. afterall it's a balance flat.. one of them that i know of is skyresidence @ dawson,btohqsg
Hi admins and members I am selling digital door locks .Pls do pm me if you are keen to find out more .If there is enough buyers I can create a groupbuy chat so that all can save more 😊😊,btohqsg
hello!woodlands north verge application rate for 4rm first timers was 0.9.im a first timer  does it mean i will get successful ballot since only got 0.9 application per flat,btohqsg
The only question is  which position,btohqsg
Hi Raymond any digital door lock that doesn’t require changing off batteries?,btohqsg
Hi! Could I vheck if anyone knows the group chat for Tanjung Rhu Riverfront I project?,btohqsg
anyone has experience with combi door?,btohqsg
hi curious qns  lets say my bto ballot no. is out of supply  like a difference of 60 applicants and i applied for sbf and high chance of within supply. can i just cancel my bto?,btohqsg
cannot cancel as long as you got queue number,btohqsg
If you cancel all other applications will be voided,btohqsg
how you know sbf high chance of within supply? application rate is low? which was the bto you got 60 out of supply?,btohqsg
hello all! i applied for the bukit batok BTO and our queue number is out of supply by 22. hence i understand there might be the slightest chance we can get to select a unit. however under what circumstance would we be banned for a year?hope to clarify this as we don't want to lose our chance to apply in July 🥹,btohqsg
If you get called up and reject the chance to book  that will cancel all your subsequent appointments and incur the penalties for a year. Even if your July queue is better  if you get called up first for the previous one  you have to go for that one,btohqsg
so let's say i get an appt date  but it's in July  and i choose not to go for it  even if i ballot in July it will be voided right?,btohqsg
i remember seeing somewhere that if there is less than 10 units available we won't be penalised? do you know how true this is?,btohqsg
Yes correct  they will cancel any pending applications if you cancel or reject anything.As for your 2nd question  the answer is yes. If 10 units or less (5 or less for SBF)  can ask HDB for a wavier  or if racial quota runs out then it's automatically cancelled by HDB without any penalties,btohqsg
thank you so much!!! 🥹🙏🏼 really informative 🤝🏼,btohqsg
oh sorry one more question  if we choose not to select a unit  the ban will run until next year October 2025? so 2026 launches we can apply right?,btohqsg
If I'm not mistaken the penalty period starts from the point of cancellation/ rejection  so it may depend which launches you can take part in again. If you're a first timer couple/ family  you should still be able to apply for BTOs as a second-timer  although the chances aren't very good. If you're a single or are already a 2nd timer  then you'll be barred from balloting for a year,btohqsg
2nd timer alloc is only 5%  it will be increased to 10% in the future.. but even 10% vs 90% alloc is 9 times. almost impossible to get unit as 2nd timer especially in popular areas,btohqsg
Dammit - someone rent me a wife so I can go for these flats.,btohqsg
Need anything call go to showroom see,btohqsg
Hello 🙋‍♂️ anyone needs aircon service   repair or installation can find them . They are professional highly recommended,btohqsg
Hi we have 2 models that go by battery pack and not AA batteries,btohqsg
You can pm me to find out more if you are keen 😊,btohqsg
Hi may I know if first timer is 1.5 what is that mean? Sorry I first timer for SBF.,btohqsg
1.5 families fighting for 1 unit,btohqsg
If I'm not wrong  typically for sbf  1st timer allocation is at least 95%  while 2nd timer is up to 5% of units available.,btohqsg
assume there are 15 families applying to 10 available flats. so 5 will not get it,btohqsg
So for this case it's basically 1.5x application rate for first timers for at least 95% of available flats,btohqsg
Hi  can I check if they changed the month to release bto again? I remember it was Feb  June  Oct last time. Seems like now the next project will only be release on July,btohqsg
Or am I just remembering it wrongly hahaha,btohqsg
Ya they changed it to July for this time round,btohqsg
Hi. Not sure if i can post this here.We are a team of defect surveyors for bto and condos. Anyone keen to engage us can let me know. We can work on group buys should any estate admins willing to collaborate and work together.Thank you.,btohqsg
So next year will be back to Feb  June  Oct?,btohqsg
Don’t know haha depends on HDB whims 😂,btohqsg
How do u guys find the upcoming July project location!,btohqsg
Hi all hopeful homeowners We posts useful information not covered by HDB on the upcoming BTOs on our Instagram. We have analysed Tanjong Rhu ParcFront  Chencharu Green & Vines as well as Stirling horizon so far  with more to come.Hope the information provided can help you guys!https://www.instagram.com/btoselect/,btohqsg
Oh no I mean  like how do u guys think about the locations hahaha,btohqsg
Here is an article by StackedHomes:https://stackedhomes.com/editorial/we-review-the-july-2025-bto-launch-sites-bukit-merah-bukit-panjang-clementi-sembawang-tampines-toa-payoh-woodlands/,btohqsg
Guys  is this a standard instruction in HFE or I have to pay levy for bto? Currently I have a resalt flat but I didnt get grant. I used to own a flat with grant with my ex husband but i didnt benefit from the resale profit because i withdraw my name out from the house before he sold it.. i only got my cpf back.,btohqsg
This will be considered your 2nd purchase if you take grant  hence levy is incurred. One person $20K. If 2 pax is $40K for 4 rm,btohqsg
Anybody know is the Result of Feb 2025 BTO out ? If yes the only way to find out is using our Singpass and dont wait for HDB letter ..all through our HDB Singpass and save paper ?,btohqsg
Housing & Development Board---(Receive your Ballot Results) 2024 BTO: There are updates to your flat application. To view details  visit HDB Flat Portal > Login via Singpass > My Flat Dashboard > I am a new flat buyer > Step 4 Receive Your Ballot Results.---This is an automated message sent by the Singapore Government.,btohqsg
Hi  did anyone receive hdb email about some updates for bto (feb exercise)? Thought results were out but seem like nothing new,btohqsg
last time they already told u results will be out in April  now is still March  what do u expect?,btohqsg
I expect not to receive any email if there are no updates?,btohqsg
So just checking if im missing out anything here with you guys,btohqsg
it is probably the update on the no. of ballot chance or if u are under any scheme,btohqsg
yeah usually it's abt the no of ballot chances etc. nothing new.,btohqsg
First email notification is to confirm your application has been received. Next month den will inform your ballot results.,btohqsg
If it doesn't say it's the result  it's not the result,btohqsg
I think the logic quite straightforward,btohqsg
Yes i know it is not the result  im just asking if there is any extra step to take,btohqsg
i don't get any email leh,btohqsg
But is just said April result out,btohqsg
i apply SBF btw.. not sure whether there is difference,btohqsg
Hi admin and everybody  any one have the Q number of Oct 2024 Kallang project? Don’t know the appointment to which number alr 😊,btohqsg
Anyone have Towner Breeze Oct 2024 BTO group?,btohqsg
Anyone got Bayshore vista bto grp?,btohqsg
Thank you.. can u allow me to reply on the group?,btohqsg
Kaadas is a no for me. Tried it  that it.,btohqsg
can always just log in to HDB website or call them if you have concerns,btohqsg
Hello anyone sold their flat to HDB because of ethnic ratio? EIP. Not sure how they valuate the flat for a buyback price. If anyone knows  pls shed some light if you got time 🙏,btohqsg
HDB appoints licensed valuers .. usually licensed by IRAS or are members of SISV..there’re certain conditions to meet to sell flat back to HDB also..,btohqsg
