text,group
have no car but here cos cars are cool,btohqsg
its fine i oso no car lol,btohqsg
i have car but it aint as cool,btohqsg
i have a very boring car im just here to see other cars (that i cannot afford),btohqsg
Nice to meet you young enthusiast,btohqsg
all cars are nice what HAHA,btohqsg
at least can have a car can liao,btohqsg
i have car buts it 7 seater,btohqsg
make it like that vw van,btohqsg
I used to be stock but not anymore🥲,btohqsg
gonna get confused between sg car mart & sg car meet 🤣,btohqsg
know which is which can alr,btohqsg
id simplify it to SCM but ltr idk why id think ppl get confused between SCM and HDC,btohqsg
my telegram is filled with car grps and chats,btohqsg
nvm ah just leave ut liddat,btohqsg
lucky never kena spam add into vape chats alr,btohqsg
i didnt expect so many ppl join so fast leh wtheck,btohqsg
aight so whats yalls dream cars?,btohqsg
s2000 but realistically i prolly jst gna buy a car at JB,btohqsg
wah got exact photo alr HAHA,btohqsg
I at Serangoon garden got 2 evo10 and 1 evo9,btohqsg
if i go msia buy car i buy S15,btohqsg
r32 gtst cuz um family u know need those 4 doors or mayb cut the kids leg and pit behind,btohqsg
the red & black colour just looks very fierce,btohqsg
It took me 4 years to get it 😂,btohqsg
As long as its a nissan,btohqsg
ya bro but so ex 🥲,btohqsg
@greylittlethreehere. Can follow my Instagram 😁,btohqsg
HAHA got car can alr la imo  as long as u think its great its great,btohqsg
now i see alot of those mazda 6s wagon people do damn nice,btohqsg
Who is the admin of the other group can pm me,btohqsg
We should have a meet up to Malaysia 😂,btohqsg
if you know you know 😉,btohqsg
Dream car is alfa romeo giulia quadrifoglio,btohqsg
like the same as Freshkicks nismo gtr,btohqsg
eh we only small groupchat not a actual car group la HAHA,btohqsg
Ouishh this one nice siaa  got sell in sg??,btohqsg
yep i saw it on singapore roads,btohqsg
Nevermind la eventually it will grow mah,btohqsg
idt i can host also leh HAHA i still damn young compared to most of uall,btohqsg
can buy almost 2 evo 9 🤣,btohqsg
The coe now i think buy paper only,btohqsg
i only created the car meet channel thing for fun then suddenly i go home 700+ member,btohqsg
Slowly bro everyone can help one another,btohqsg
no matter how much they say no revving  some fools will still rev their car,btohqsg
we boo them if they rev,btohqsg
same goes for the streetaddicts meetup 🤣,btohqsg
If u guys see me on the road or car meet give me a thumbs up👍 also can follow my insta : thatcivicfc,btohqsg
yep just like the meet on 11 june,btohqsg
I driving now. Reply you guys later👍🏼😁,btohqsg
they said can rev but not too much,btohqsg
take photo also want to kpkb the security,btohqsg
Every meet will put cant rev but no matter what people will rev,btohqsg
That moment when my car cant rev HAHAHHA,btohqsg
but either ways they gna rev,btohqsg
is that ur car in the pfp?,btohqsg
Ev uh. How to rev HAHAHAH,btohqsg
put speaker at back of car only HAHA,btohqsg
just play v12 noises thru the speakers,btohqsg
and then someone must be outside with a slipper to imitate the popping sound,btohqsg
thn u pop in the car,btohqsg
aiyo like the decathlon meet one ah HAHA,btohqsg
got the ppl at the side whack bottle only,btohqsg
troll the entire meet make them think got lambo coming but its you,btohqsg
got influenced by my friend HAAHA,btohqsg
My uncle HAHA he influenced me,btohqsg
wait lemme try and find an old picture of my dad wrx,btohqsg
i go look at tv suddenly got tokyo drift,btohqsg
i got influenced by tanner fox gtr,btohqsg
that was my dream car at first,btohqsg
My house area all the reverse sensor only noisy,btohqsg
bro dont worry mine always got evos n lancers revving,btohqsg
i hear at 4am in the morning ferrari past my hse,btohqsg
my mom would be shouting 💀💀💀,btohqsg
yall gg wht timr for this?,btohqsg
i wan catch the cars coming in,btohqsg
jst so yall know the organiser said to come ard 10-11 so im not sure if 8 yall want,btohqsg
they ask the cars come 10-11 sia,btohqsg
the horizon one need in the morning,btohqsg
that one for horizon drivers club,btohqsg
the one at night no need,btohqsg
bro cars and coffee diff one ah HAHA,btohqsg
hdc hosting a c&c in the morning,btohqsg
what r u guys thoughts on an idiot fucker who whack in a confined hdb blocks?,btohqsg
bus 11 is yr legs bro,btohqsg
cause got this 1.4 tsi golf keep on whacking his engine,btohqsg
HAHAHHAHAHAH if u really dl him call lta 🤣,btohqsg
that one seat inside engine bay oso i dont mind sia,btohqsg
really silly fella keep on full throttle,btohqsg
Btw yall prefer the kallang meet or carros meet?,btohqsg
y'all lucky u dun stay near city,btohqsg
Petrol expensive leh still can floor,btohqsg
kallang one definitely more hype but carros more chill,btohqsg
one day i take video  fucker keep on whacking,btohqsg
you hear everyone going in/out of decat via nicoll highway every weekend,btohqsg
kallang if you like the fast n furious vibe cfm best,btohqsg
where got 1.4 tsi sound like golf r  this fella car more louder than golf r,btohqsg
carros no lta or tp come tho,btohqsg
+ at night alw got cars,btohqsg
but carros like family meeting sia HAHA,btohqsg
the organisers promoting food to buy,btohqsg
Ya away from residential so they kinda give kao kao,btohqsg
dont worry ive seen a hiace with some horrible sound,btohqsg
like he just change the exhaust tip,btohqsg
This one mat/minah just want to ups only,btohqsg
every malay have a “ mat”blood in them,btohqsg
HAHAHHA YES MY FRENS CALL ME MAT SIA,btohqsg
i take this to the meet see y'all there,btohqsg
i dream host car meet one day but i shall not rush 👍,btohqsg
i will need whole parking lot thanks,btohqsg
i feel like i youngest here,btohqsg
but with a rented car ah,btohqsg
and i the one owning this gc 😭😭😭,btohqsg
No la you all just change the number position only la,btohqsg
as teens must live life to the fullest,btohqsg
just dont get caught doing the stupid stuff,btohqsg
police there must follow lawpolice not there everything legal,btohqsg
Only if sg highways are like autobahn…,btohqsg
highest i go 120-130 kmh 💀,btohqsg
Travel there ah then can feel,btohqsg
got one at clementi there tall ass building nice view,btohqsg
Custom make ramp car for TP,btohqsg
Help us clear road of road hoggers,btohqsg
even the white horse lose this time,btohqsg
wat car mods in sg seems illegal but is not,btohqsg
Anyone else going this sunday to the car meet? HDC.,btohqsg
seen wayyy to many cars with turbos in it,btohqsg
Wide body that one approved ah,btohqsg
i thot air suspension was illegal,btohqsg
cuz u know lta doo doo,btohqsg
as i hear i a bmw go buy,btohqsg
Having abit stroke ah reading haha jkjk,btohqsg
just saw a civic fd2r go by,btohqsg
bro my estate got one rx8,btohqsg
wah but the owner put carbon hood but nvr take care,btohqsg
there was an rx8 at my estate,btohqsg
I have some hybrid cars the reverse sensor noisy,btohqsg
ive seen a rx7 fc near scrap facilities 🥲,btohqsg
Lai i got a task for u guys,btohqsg
car sold off for a macan 😫,btohqsg
i would buy that car for $20 n 50 mcnuggets with any sauce,btohqsg
yo u guys like thegreenvipers wrx,btohqsg
so good ah can go ride in ppls car,btohqsg
Yasia how u get all these payung ah,btohqsg
and being good at taking photos,btohqsg
eh lemme ride oso leh HAHA,btohqsg
Sorry no pops but guess what car,btohqsg
i was gna buy a dslr for bus spotting,btohqsg
but i give up on that community long sgo,btohqsg
I use pro max oni but im not really a photographer so yea ://///,btohqsg
i use iphone X only bro issok one la,btohqsg
i give up on that community long ago alr,btohqsg
My car at its most possible stock just with spoiler and sport rim 😂,btohqsg
edit abot ehh like last yr i did this,btohqsg
seeing lots of carbon reminded me of a gtr almost full carbon,btohqsg
but i don't hear the vtec so,btohqsg
ok im very far off HAHAHAHA,btohqsg
eh crap 1st photo accidentally send,btohqsg
The dash looked damn familiar HAHAHAHA,btohqsg
that one my friend one HAHA,btohqsg
Btw yall know the ig of the white subaru?,btohqsg
yall know the ig for the like aqua/teal evo 9 anot,btohqsg
no ive been trying to find lol,btohqsg
he got like abit wide body,btohqsg
ok one more then done 🤣,btohqsg
i saw him at admiralty b4,btohqsg
he always drive at the north one,btohqsg
Anyone taking license rn at ssdc?,btohqsg
over there always see gtrs evos wrx,btohqsg
