text,group
wlao I wanted to go then my parents say now 7 month then don't lemme go tsk,btohqsg
was just talking to him earlier on today lol,btohqsg
anyone at chijmes seeing the supercars,btohqsg
California Highway Patrol be training like Fast and Furious,btohqsg
White wheels on red is sex,btohqsg
car like abit familiar ah lol,btohqsg
Also hazel u scammer say you here end up u go donkey2,btohqsg
i cant believe miatas exist in sg 😓,btohqsg
u wait until pakistan landline scam u.,btohqsg
eh brother@shitboxenjoyerthis one like familiar car eh,btohqsg
so u scam people as revenge pe,btohqsg
THATS WHAT I TOLD U BRO GOT PPL SAY MIATA ILLEGAL💀💀💀,btohqsg
Cb why meet autocorrect become meat,btohqsg
send race clip in the other chat,btohqsg
watch him eat me for breakfast,btohqsg
putting all the 90hp to the ground,btohqsg
Ok a short period it was slightly not LTA compliant but now it's 100% compliant HAHA,btohqsg
90hp car will always be lta compliant sorry,btohqsg
yall dont hold hands and makeout,btohqsg
do u still have the ss,btohqsg
on my old phone i think,btohqsg
huh u have ss of his pubic hair,btohqsg
NO LA THE LYRICS HE MADE UP,btohqsg
More important qn is WHY HAZEL SCAM ME,btohqsg
YA CUZ THE TOILET DOOR BELIEVEABLE,btohqsg
THEN I SEE BOTH THE DOOR OPEN GUY GO IN,btohqsg
u never come here how uw find miat man vel,btohqsg
