text,group
I think ppl see us buy attrage at 100k they laughing at us alr,btohqsg
Those who diy ; do u coat 9H first then wax ?,btohqsg
Sgcarmart warranty only last 6 months after purchase?,btohqsg
If we look at it  honestly  none of us owns a car🤣everyone is just long term leasing,btohqsg
Yes Tks bought the polisher   9H   wax   claybar  iron remover try to diy,btohqsg
Take your time! Better to be slow and thorough than rush and botch it,btohqsg
Question: if you had the option to buy a COE that’s transferrable to ANY car and would have no expiration to it  but would cost you a kidney  liver  half a lung  and your partner’s half a pancreas  would you?,btohqsg
Normally after polish and wax ist let it cure for 24 hrs then Coat 9H ?,btohqsg
I’ve never cured between a wax and a coat  but I cure between coating  but not 24 hours,btohqsg
Coating just takes a long time generally. Then again  I’m OCD.,btohqsg
Oh pls do it slow. Coating cannot rush,btohqsg
Nope. Now the new cars be like :o,btohqsg
But then you only pay ARF and OMV etc.,btohqsg
Actually we are the only country with ARF and OMV no?,btohqsg
Our cars here are taxed like 3 4 times more,btohqsg
Eg gst applied aft arf and omv,btohqsg
Coe is a luxury tax on a majority non-luxury good. But in the flip side our income tax is low for a developed country  while our public services are among the best world wide,btohqsg
Yes direct taxes we are considered very very low. Pls consider indirect taxes too,btohqsg
Yeah that's fair. Like our cpf,btohqsg
So if CPF Gets deducted  but we are still taxed on our gross not nett income. Essentially  lesser amount of cash ON Hand,btohqsg
Indo has 200-400% on luxury cars,btohqsg
Bro u alr said luxury cars,btohqsg
Isn't cpf tax deductible? At least that's what I see in my iras statement. I think not full relief though,btohqsg
Yes tax deductible for Compulsory contributions,btohqsg
Ours no matter what still whack. Altho our ARF is staggered so luxury cars get taxed more. Similar to indonesia ah based on what u say,btohqsg
I mean Indo tax still cheap,btohqsg
There's an 80k relief cap on personal income. So no more than 80k cpf eligible for relief which I think 99% should qualify for!,btohqsg
It’s relief on contribution right? So income tax only on your take home,btohqsg
Yes my bad. I forgot abt that relief,btohqsg
So compulsory contributions are not taxable,btohqsg
But we pay tax everyday   where got low ?,btohqsg
The accumulation of tax you pay all add up is consider massive amount,btohqsg
Add up is what u said,btohqsg
5 room resales HDB want to sell 1.5m   omg,btohqsg
Every thing in sg all expensive,btohqsg
When grants increment went the opposite way of what you intended,btohqsg
I tot xin is a female,btohqsg
Our hDB is similar to car,btohqsg
Public buses and Taxis also pay PQP?,btohqsg
or xin is just pete trying to parody xun,btohqsg
No because they actually make sense,btohqsg
That's why I go with they,btohqsg
They're not luxury goods  the government doesn't classify vehicles as luxury. It's more of a non necessity I suppose,btohqsg
Also if taxis and buses didn't pay pqp,btohqsg
Wah your gahmen supported company no need pay tax one,btohqsg
Like everyone yell about COE right now,btohqsg
who knows he learnt after getting banned 4 times,btohqsg
And yell about people being able to buy multiple cars,btohqsg
He came back as S and didn't,btohqsg
S got banned already ah ahahaha,btohqsg
Also Sir/Ma'am Xin has multiple profile pictures,btohqsg
Because these non thinkers dont understand the term PUBLIC TRANSPORT,btohqsg
If PQP wasnt required for them  our public tpt wud actually be cheaper.,btohqsg
if pqp wasn't required for them everybody and their grandmother will become grab drivers,btohqsg
I think taxi and phv difference quite clear,btohqsg
I believe Mr History was talking about the SH plates,btohqsg
Oh yes I only referring to SH,btohqsg
Taxi and PHV are quite different,btohqsg
If mrt got pqp riot alr sial,btohqsg
I think the pricing not bad,btohqsg
Just need to find concession card that suits you,btohqsg
For the type of transport we get,btohqsg
All stations got big fan or aircon,btohqsg
Trains and buses clean on the inside,btohqsg
Shelters around mrts to nearby buildings,btohqsg
You go outside see the prices for public transport and the quality,btohqsg
Tax payers pay for all these,btohqsg
U need compare first world countries ah,btohqsg
Bro isnt this like the bare minimum,btohqsg
Go outside of Singapore and see,btohqsg
Yeap japan and s.korea also similar to ours,btohqsg
US train you need biohazard wash after going in compared to SG,btohqsg
Australia the public transport like 2x-3x more ex than SG,btohqsg
And the connectivity isn't the best,btohqsg
You go UK tube during peak times,btohqsg
No aircon one and more packed than ewl during peak hours,btohqsg
Their healthcare payment is way lesser than ours shud they fall sick,btohqsg
They pay a 2% levy for that on their income as Medicare levy,btohqsg
Whereas in SG if you're pr/citizen you got subsides already if you go public hospital or polyclinic,btohqsg
You see right  if one looks,btohqsg
Can find things to complain about,btohqsg
Can find things to appreciate also,btohqsg
U dun see me complaining our security here 🙈,btohqsg
45% for top end. Realistically about 24-27%. 30% for the average person usually,btohqsg
I just realised that aaron michael and arnav guliani r 2 diff persons. 😱😱😱,btohqsg
But you get the point  also put in upto for that reason,btohqsg
It's been over 3 months already,btohqsg
And you never notice we different,btohqsg
Need spend lesser time on telegram,btohqsg
We alternate months win pls thanks,btohqsg
I win once I okay liao,btohqsg
You win how many times already?,btohqsg
So I don’t have to top up my cashcard,btohqsg
You got your pokemon card folder full already?,btohqsg
U been winning before I join no?,btohqsg
I also new in this group,btohqsg
He new member each time he changed car,btohqsg
U might be winnin dis month,btohqsg
I working at office these few weeks,btohqsg
Then you really need sgcm detox,btohqsg
I call cars luxury because we pay duties like they're optional goods  when in reality there's a sizeable population who need cars. For eg I've 2 kids to ferry  who is the govt to tell me public transport is good enough?,btohqsg
No leh I didn't I was asking,btohqsg
Because not everyone just wants to be living bread and butter,btohqsg
Who doesn’t want a better quality of life,btohqsg
I think our govt policy is so focused on bread and butter such that they forgot that the citizens too have a life outside of work,btohqsg
1 million resale. 700 800k BTO,btohqsg
I considering there alr and its not cheap alr,btohqsg
My sister got hers for 290k at yishun,btohqsg
I got mine for 360k @ Tengah,btohqsg
My friend got his 5rm 500k,btohqsg
Unpopular opinion but 5rm bto is a scam,btohqsg
You don’t even get an extra room,btohqsg
But he was telling me abt it,btohqsg
500k is cheap for 5 rm,btohqsg
It’s going around for that price,btohqsg
And now gahmen give more grant also,btohqsg
You want be picky  don’t complain. You wanna complain  don’t be picky.,btohqsg
Oh so it's gonna be 520k now,btohqsg
I tried one time and i didnt even get a queue number,btohqsg
Because people get extra 30k grant,btohqsg
My friend tried 11 times and failed,btohqsg
Isn't that what they're supposed to be focused on?,btohqsg
This is turning into a propertyguru community,btohqsg
Then people work on obtaining the rest of the things by working harder,btohqsg
But a van and live in it,btohqsg
Its not feasible in SG leh,btohqsg
Wa BRO U DONT COME ASK ME FOR DK WHAT CAR U WANT WHEN I STRIKE TOTO ALR,btohqsg
U ALR USED UP UR LUCK IN FIRST TIME BTO ALR,btohqsg
Got different generations coming into the workforce?,btohqsg
Wa this no job i damn triggered. There is always jobs available,btohqsg
Been there done that. Sometimes just need to work extra harder,btohqsg
You will always be able to find a job,btohqsg
