text,group
And they do make tunes for the diesels as well,btohqsg
Click on the button to see the chat rules!,btohqsg
Wow... Just only a week i got $80 000 by investing $8 000  can't imagine what will be of me if i could invest more on it@ECRachaelSupport,btohqsg
📢 Sgcarmart USED CAR MARKET 📢Honda S2000 2.2M🇯🇵💵 $238 000📅 Registered Date: 30-Jun-2007⏳ COE left : 4yrs 3days💸 Depreciation: $59 340/yr🧭 Mileage: N/A🔑 No. of owners: 6👉🏻 Authentic ASM👉🏻 Dry carbon hood  canards  boot and GT wing👉🏻 Authentic carbon Mugen hardtop👉🏻 Ohlins TTX 3 way.👉🏻 Advan GT beyond👉🏻 Brembo GTS👉🏻 Toda👉🏻 HKS✅ Do not compare depreciation  my car is second to none.✅ Owned this for a combined 10 years now  and have given the car nothing less than the best of everything.✅ Everything on the car is has been replaced or fixed.✅ The car is driven hard so it requires the every tender loving care I can afford✅ Build to be the perfect every day car  and the ultimate track weapon➡️View the used car listingHERE!,btohqsg
“Do not compare depreciation” how abt stop ripping people off unethically hmm,btohqsg
But wow surprising condition still good sia,btohqsg
Told u liao i dont see car for fun de hahah,btohqsg
“…driven hard so it requires the every tender loving careI can afford“,btohqsg
What if he cannot afford original parts and high end workshops?,btohqsg
I wonder who’ll be stupid enough to buy that 50k depre s2000,btohqsg
If want to go orchard   where park car is the cheapest?,btohqsg
Orchard towers. 2.2/hr Cap at $8,btohqsg
Forum i think is 3+ per entry after 5 or 6,btohqsg
I realized a lot of carparks in town remove the per entry charges after 5/6,btohqsg
If going to mbs   where will you guys park your car?,btohqsg
Okay lah not literally beside but,btohqsg
Mostly no lots most of the time,btohqsg
Can park here if you’re gonna stay there for a few hours,btohqsg
Before 5 is cathay cineleisure next to Plaza Sing,btohqsg
Suntec also per entry after 5 or 6pm,btohqsg
I cheapo usually park one place n walk,btohqsg
Same   very long nv go walk walk Liao,btohqsg
Singapore too small to go find 1 place to waste time,btohqsg
Last time is 2.20 / 2.80 on weekday weekends,btohqsg
I think when u spend x dollars can get complimentary ticket at the service counter,btohqsg
Yeah can but always sold out,btohqsg
There night time got what ?,btohqsg
Nothing cus i always go aft work mah,btohqsg
Now v power got discount worth to pump ?,btohqsg
Don’t tell me you drive mazda 3 want pump v power,btohqsg
I also got the $8 vouncher,btohqsg
Not sure can stack and use or not,btohqsg
If ur car not tuned for 98 etc dont need pump 98 or v power unless u feeling rich,btohqsg
When ur car dun need it,btohqsg
Are u going to spend a lot there? If so  go be a member and gain points for parkinh,btohqsg
Any1 know any workshop in JB open to do frontlip installation?,btohqsg
Its just the stupid thing taking space in my car 😂😂😂,btohqsg
I think need drill hole also,btohqsg
Charge you my hourly rate but you provide tools,btohqsg
But i wud gladly let u do it n pay u,btohqsg
You just need a drill and a screw driver attachment thingy,btohqsg
I think I can just gorilla glue right?,btohqsg
Hearsay double side tape might work,btohqsg
Some say  if you ask the stig for white stuff  that lip is not going anywhere.,btohqsg
Tiagong yall want my frontlip to fly out from my car,btohqsg
Well if you ask the stig  it’ll just be on the floor. I did say it’s not going anywhere.,btohqsg
New project promotion  who can help?,btohqsg
I want ur car to park by its self,btohqsg
Now i know how use alr,btohqsg
Fog light got use bo ? When rain,btohqsg
