text,group
Marco P mouth back 40  hope its a trigger signal !!!,btohqsg
I buy cuz hit my line,btohqsg
And then when market good they drop,btohqsg
Wait market not so good they go back defensive play,btohqsg
Oil BB run road or giving discounts ah?,btohqsg
wind direction temporary change    looking at marine contracts and coal production !!,btohqsg
Same to Jardine C&C🌴🥥 opening big jump dn gap-dn $33.51 then immediate rebound 🪃 to yesterday closing price and pump up 36.17$ for approx. +8%.. b4 pullbk slightly above 35.28... looks gd to try bk small for next wk🤣,btohqsg
RH appears to be more resilient...,btohqsg
Maybe will go.. but let’s see,btohqsg
Ya.. opening gap-dn & break S 3.50 (or double bottom break).. it's okay to SL since wrong & u try small ep.. actually also bear flag break-dn,btohqsg
Follow TA📉.. forget about FA.. defense our hard earned💰 is e most important in trading or investment stk mkt,btohqsg
Okay 👍.. I also didn't touch 🇸🇬4S.. except in e past SATs🚚🍱 and now left SIAEC👩🏻‍🔧👨🏾‍🔧 in my WL for trading,btohqsg
👍  I like SIA Engineering too  but my q is way too low @ 2.13,btohqsg
why u want to support them paid GCB installment or carry Temasick bkside har 🤣 (I still holding their bkside w some kena strucked position)..Nanofilm 📽️ avoid if for investment.. and trading OSOD 🤣,btohqsg
STE just oversold? Or got done bad news,btohqsg
Haha.. I tot this tiong can do magic when price down,btohqsg
Chiong ah.. other oilies to follow...,btohqsg
haha.. past few days bo lang ai hor... thought💭 SCM⛴ already BO on this Wednesday when jump-up gap-up opening 113 breakout upper dntrendline.. yes  next R 121 (triple🔝tops) gg to BO 🔜.. 🤣,btohqsg
So many to short why go short singtel..,btohqsg
small trading position only lah.. but thks! And still holding mid term investing position,btohqsg
g invacom 30mif momentum remainthen w5 62 63,btohqsg
APS vol coming for 1 liao,btohqsg
if RH retest 205 again today  likely to break out liao!,btohqsg
He just want to aim me like that other clown,btohqsg
I buy Simi they short Simi,btohqsg
ai zhai.. Snr.旺旺.. trust your trading skills 🎣.. it's okay for short trade sharing.. as far can give decent return tat is é same to intraday long trade,btohqsg
wah STE.. I waiting for you. pls short more,btohqsg
But profit few time le. Later I just sell if not they short more profit turn to lose,btohqsg
I will keep in fridge for anan,btohqsg
Oh.. buay tahan liao.. break my silence🤐..YZJ🚢 cross🤞 117 is gd signs mean shall see 120series 🔜.. but Huater holders rem to update & upgrade your S to 117 hor🤣,btohqsg
Same here  feel like q-ing @ 3.41,btohqsg
Tempting to get Singtel  if hold @ 2.52-2.53 then longterm uptrend continue,btohqsg
Wow where this? Now all buy 4 rooms and 3 rooms. Huat to seller,btohqsg
Waiting for Smm big year end rally,btohqsg
halcyon weekly update  some resistance by 100ma at 250  ownself decide if wanna take some profit,btohqsg
anyway  I play small 10 lots.. keep for retirement,btohqsg
U won't regret🤣.. avoid avg. dn (DCA) once decide comfortable ep price.. and just wait Bankers/ institution funds flowing bk then decide whether want to increase position when cross 🤞 bk >1.04$,btohqsg
Hmm..  small here also  tot target 28c,btohqsg
Sats lai liao  can I still get @ 2.95?,btohqsg
Don't anyhow sell SMM lah.... BO seems real.,btohqsg
是的 已经 突破 很可能 再突破👍突破 突破🤣,btohqsg
Why no body talk Rex int ?,btohqsg
should be those who bought 1 on T and today sell back contra. this one need to hold if play and bet on a mother pump warrants conversion play,btohqsg
Nice👍 sis Jasmin👸.. abit too early.. but I🙆🏻 suggest may toH pm after cross 🤞 120.. then rem to TP near 117/118 b4 strong bullish rebound🪃 to e sky🤣,btohqsg
Wah lau.. the other day you said YZJ Toh and shorted. How ah? Chowtah liao mah? lol,btohqsg
Matex jiayou le .. continue green green,btohqsg
After lunch all my fav dropping  maybe should hold my 🔥 for now.,btohqsg
Parkson something wrong I throw all 63 buyers keep coming in,btohqsg
CGS-CIMB lowers ST Engineering target price on higher interest ratesCGS-CIMB has cut its target price on ST Engineering (STE) from S$4.53 to S$3.95 after the US Federal Reserve raised its key interest rate by 0.75 per cent on Sep 21  with further hikes expected in the near term.,btohqsg
Maybe fund mgrs want to buy low,btohqsg
If below 3  all e other toh alot more,btohqsg
Now is falling knife to me,btohqsg
STE share buy back I think 3.72,btohqsg
But yes u r right 3.2+ is next support,btohqsg
I will load up some @ 3.2,btohqsg
But too expensive for me la,btohqsg
RH so low vol  compared to yesterday.BB quietly supporting.!,btohqsg
TIGER  what you quietly buy today?,btohqsg
So many counters why go short no volume one,btohqsg
Yup  no vol. Doesn't make sense,btohqsg
KH no power... lucky buy small small,btohqsg
Interra finally got some vol. Hope is bb collecting,btohqsg
If bb dump then gg le,btohqsg
only patrick lee shorted sinktel ?,btohqsg
I cut everything le scared Monday sell down,btohqsg
No hurry to enter Sats  ST Eng  Sia Eng and Singtel.,btohqsg
Fri .. always toh one .. no one wan to keep weekend,btohqsg
When is entry point for St engineering?,btohqsg
KH 88  ok to buy now ??,btohqsg
Sats @ 2.95 or 2.75  ST Eng @ 3.20 or 2.95  Sia Eng @ 2.20 or 2.00 and Singtel @ 2.42 or 2.20. Dyodd (not expert here  just my opinion),btohqsg
its time to push !!!! GG,btohqsg
See see look look okDon't touch song song sleep Tonight,btohqsg
Wah... no need to wait next week. I think. lol,btohqsg
Any kee siao counter or not ah?me think SMM got chance if Ms Toh short more. 🤣🤣🤣,btohqsg
Got good news yet no ki?,btohqsg
If u see the chat group so quiet mean market very dull...,btohqsg
Market boring  I'm re-watching Lord of the Rings,btohqsg
GEAR 850/855 mouth to mouth    BB  u can do it !!!,btohqsg
Singtel got chance sia  if maintain @ 2.52-2.53 for a few session. I will load some.,btohqsg
Parkson has detached itself from pap,btohqsg
Ysday I clear ace buy parkson..move Faster,btohqsg
Or they buy 0.36 sell 0.39 dy😓😓,btohqsg
last 30 minutes     squeezing the shortist,btohqsg
Pollux should join the fun this laggard,btohqsg
later close above 90 !!! huat ah,btohqsg
just wake up 💤😴why🐉9D 80series again🤣,btohqsg
why bo lang ai SCM⛴vol. crazy >350M shares 🤣,btohqsg
Yzj take break will go genting ba,btohqsg
I always think this 2 same players,btohqsg
Parkson forever nvr disappointe Huat ah,btohqsg
Zhongxin Fruits... ready to bounce >?,btohqsg
kn💩.. why YZJ🚢 bo toH 🤣,btohqsg
Ace ever last 15min chiong.. Wonder can happen again),btohqsg
My thought was pollux  mencast and Kim heng will have last min Chong,btohqsg
why Dyna-Mac🛥 bk to S S near 192🤣,btohqsg
