text,group
Johnleebuffet chicken rice at tiong Bahru for 3 dollars at may 1,btohqsg
actually 02wks ago when price raise to 76/77  it appeared bearish hidden divergence b4 pullbk.. then the MACD or KDJ  indicator appeared golden crossover (GCO) yesterday or today.. that's why 50/50 either BO or break-dn and needs to observe 1st.. but since u shared 🐲9D profit guidance announcement  probably tOh next wk? IMO nia🫣,btohqsg
Eh wait . You have not ans my question just now.. you want to chop where ?,btohqsg
No joke . I long Liao . You better chop your kkj now,btohqsg
I lose abit never mind . Just want to see you chop .. 😀,btohqsg
die die want u to chop,btohqsg
ICA Warns of Heavy Traffic in SG-JB Checkpoints for This Long WeekendHowever  during the last long weekend  there was surprisingly no massive jam.👉https://goodyfeed.com/ica-traffic-checkpoint-long-weekend/,btohqsg
Yes .  I want to see him Chop.. I can lose 1 2k never mind . Happy to see him Chop. . but he break his promise 😞,btohqsg
Sure full hse leh.. seat on floor also full😂,btohqsg
I cut Q for you .. the sell drink want the uncle my customer,btohqsg
I cut your kkj and sell ☺️,btohqsg
Then need see if xmm want or not liao,btohqsg
Wilmar posts 26.2% fall in Q1 net profit to US$391.4mhttps://ift.tt/heZlnJ5April 28  2023 at 06:19PM,btohqsg
Can 3 type of different taste Sia .. not bad,btohqsg
‼️*IMPT ANNOUNCEMENT*‼️Hi all HDB just announced the introduction of a new HDB Flat Eligibility (HFE) letter from 9 May 2023  to provide flat buyers with a holistic understanding and assessment of their housing and financing options before they commence their home buying journey.  The HFE letter will inform flat buyers upfront of their eligibility for a new or resale flat purchase  CPF housing grants  and HDB housing loan  including the respective grant and loan amounts.  It will replace the current HDB Loan Eligibility (HLE) letter  and the Intent to Buy (ITB) for resale flat buyers.See the link below for more details:https://www.hdb.gov.sg/cs/infoweb/about-us/news-and-publications/press-releases/28042023-New-HDB-Flat-Eligibility-Letter,btohqsg
Scare ppl anyhow buy high resales flat,btohqsg
Scare ppl no money to pay.,btohqsg
🤯 This half-room for rent in M'sia comes with half an air-con.Rent for the windowless room is RM250 (S$74.80).➡️https://bit.ly/448spctFollow us on@mothershipsg,btohqsg
Johnleesg have ? Can everyday go eat,btohqsg
Many countries no more using US Dollar  new dollar will be RMB.. Huat ar,btohqsg
Give up I short loss $50,btohqsg
LKY already mention many year back .. he say in futures USD will replace by RMB ..,btohqsg
LKY said Singapore wil will return to Malaysia,btohqsg
Next week May no sell down,btohqsg
Knn . 60 dollars only 😂,btohqsg
Or Japan claim Asia belong to Japan?,btohqsg
I not teacher 😂😂😂 gamble skills 🙈,btohqsg
Huat more faster than playing share 😂😂,btohqsg
Samudera issues profit guidance  reports contraction in Q1 earningshttps://ift.tt/ISpn0XEApril 28  2023 at 09:20PM,btohqsg
Can share how your view about this property market after government give new cooling measurement,btohqsg
In fact  later will be a new status to own a Singapore property,btohqsg
Not every foreigner can afford extra 60% ABSD,btohqsg
Can buy until means super rich,btohqsg
Yes .. this background asset must have more than 10 million above,btohqsg
Especially Chinese like to have face to show off,btohqsg
60% better buy in London and New York,btohqsg
This is my point of view,btohqsg
It’s a new status to have,btohqsg
Not everyone can afford to pay that extra ABSD,btohqsg
Today . Just hear from my customer who is a agent .. he almost earn a 50k commission.. after government suddenly come out this measure . That hongkong buyer back out 😂,btohqsg
McLarenwaiting for u to finish haha,btohqsg
Lol. Thank for you sharing view .. 👍,btohqsg
Good night .. your gf waiting for you already 😂,btohqsg
Give buyer some time  they definitely will come back,btohqsg
Knee jerk effect.once settle  buyer chiong in again,btohqsg
Nah. Auntie waiting for me 😂,btohqsg
60 percent will be there always ..,btohqsg
Earlier I went to drink with folks,btohqsg
Have fun and gamble with care,btohqsg
I never gamble but because Maclaren lol,btohqsg
